id,efficiency_net,efficiency_gross,efficiency_comment,date,efficiency_source,source_type
BNA0005,0.31,,,2015-30-10,https://www.ffe.de/download/berichte/Endbericht_Energiezukunft_2050_Teil_II.pdf (S.191),A
BNA0006,0.31,,,2015-30-10,https://www.ffe.de/download/berichte/Endbericht_Energiezukunft_2050_Teil_II.pdf (S.191),A
BNA0007,0.31,,,2015-30-10,https://www.ffe.de/download/berichte/Endbericht_Energiezukunft_2050_Teil_II.pdf (S.191),A
BNA0008,0.31,,,2015-30-10,https://www.ffe.de/download/berichte/Endbericht_Energiezukunft_2050_Teil_II.pdf (S.191),A
BNA0015,0.44,0.8,Brutto: KWK Wirkungsgrad,2015-25-11,http://www.feuerwehr-oberboihingen.de/index.php?id=210&tx_ttnews[tt_news]=452&cHash=d8aa7375c5ed6e4b398f9bee5e270dbb,B
BNA0019,0.44,,,2015-28-10,http://www.feuerwehr-oberboihingen.de/index.php?id=210&tx_ttnews[tt_news]=452&cHash=d8aa7375c5ed6e4b398f9bee5e270dbb,B
BNA0020,0.44,,,2015-28-10,http://www.feuerwehr-oberboihingen.de/index.php?id=210&tx_ttnews[tt_news]=452&cHash=d8aa7375c5ed6e4b398f9bee5e270dbb,B
BNA0051,,0.75,,2015-29-10,http://www.cargill.de/de/locations/barby/index.jsp,A
BNA0059b,0.47,0.75,Brutto: KWK Wirkungsgrad,2015-23-11,http://www.vw-kraftwerk.de/documente/umwelterklaerung_2012.pdf,A
BNA0073,0.49,0.92,Brutto: KWK Wirkungsgrad,2015-30-10,http://corporate.vattenfall.de/globalassets/deutschland/nachhaltigkeit/umwelt/zertifikate/ue_hkw_mi_2013.pdf,A
BNA0085b,,0.95,Brutto: Inkl. Wärme,2015-23-11,http://www.vattenfall.de/de/berliner-energiewende/meldungen-termin-februar-2014.htm,A
BNA0086,0.4,,,2015-30-10,http://www.energie-und-management.de/free-archive/Freearchive/feView3/4449.html,B
BNA0087,0.4,,,2015-30-10,http://www.energie-und-management.de/free-archive/Freearchive/feView3/4449.html,B
BNA0093,0.39,,,2015-23-11,http://www.spd-saar.de/uploads/media/konzept_bergbau.pdf,A
BNA0111,,0.88,Brutto = Gesamtwirkungsgrad,2015-20-11,http://www.stadt-und-werk.de/meldung_21559_Hiltrop+liefert+wieder+Strom+und+W%C3%A4rme.html,B
BNA0115,0.41,,allgemeine angabe von 41-43 % fÃ¼r Schwarze Pumpe Lippendorf Boxberg,--,https://www.wirtschaftsrat.de/wirtschaftsrat.nsf/id/B836452CBA9B03CFC12578DC00337EBA/$file/kirmse.pdf (S.34),A
