Clave de Registro;Nombre de la Unidad de Producción;Estado;Dirección de la Unidad de Producción;Municipio de la Unidad de Producción;Provincia de la Unidad de Producción;Nombre del Titular de la Unidad de Producción;Dirección del Titular;Municipio del Titual;CPostal del Titular;Provincia del Titular;Participación, en %, del Titular en la Unidad de Producción;Nombre del 2º Propietario de la Unidad de Producción;Participación, en %, del 2º Propietario de la Unidad de Producción;Nombre del 3º Propietario de la Unidad de Producción;Participación, en %, del 3º Propietario de la Unidad de Producción;Nombre del 4º Propietario de la Unidad de Producción;Participación, en %, del 4º Propietario de la Unidad de Producción;Fecha de la puesta en servicio de la Unidad de Producción;Tipo de Unidad de Producción;Tecnología de la Unidad de Producción;Potencia Instalada en MW;Potencia Bruta Total en MW;Potencia Neta Total en MW;Tensión de Conexión de la Unidad de Producción en el Punto de Conexión;Nombre de la Empresa Propietaria de la red en la que tiene punto de conexión la Unidad de Producción;Nudo del punto de conexión de la Unidad de Producción;Nombre de la Unidad de Gestión Hidráulica (si es de tipo Hidráulica);Nombre del Río (si es de tipo Hidráulica);Nombre del Combustible más usado (si la Unidad es de tipo Térmica Clásica);Nombre del Combustible 2º más usado (si la Unidad es de tipo Térmica Clásica);Nombre del Combustible 3º más usado (si la Unidad es del tipo Térmica Clásica);Subsección;Denominación Ciclo Combinado;Mínimo Técnico Declarado;Modo de Funcionamiento;A (th/h);B (th/h.MW);C (th/h.MW2);A (th);B (horas);D (€/arranque);O&MVDi (€/MWh );Anotación al Margen
RO1-0001;ABOÑO 1;DEFINITIVO;;Carreño;ASTURIAS;EDP ESPAÑA, S.A.U.;PLAZA DE LA GESTA, 2;Oviedo;33007;ASTURIAS;100,00;;;;;;;15.03.1974 00:00;TÉRMICA CLÁSICA;CT CARBÓN;360,000;360,000;341,790;132,000;HIDROCANTÁBRICO DISTRIBUCIÓN, SAU;CARRIO 132 KV;;;HULLA+ANTRACITA;FUELOLEO;GASÓLEO;1;;;;;;;;;;;
RO1-0002;aboño 2;DEFINITIVO;Carreño y Gijón;Carreño;ASTURIAS;EDP ESPAÑA, S.A.U.;PLAZA DE LA GESTA, 2;Oviedo;33007;ASTURIAS;100,00;;;;;;;23.09.1985 00:00;TÉRMICA CLÁSICA;CT CARBÓN;556,200;595,170;561,885;220,000;HIDROCANTÁBRICO DISTRIBUCIÓN, SAU;CARRIÓ 220 KV;;;HULLA+ANTRACITA;GAS NATURAL;GAS NATURAL;1;;;;;;;;;;;
RO1-0005;SOTO RIBERA 3;DEFINITIVO;Ribera de Arriba;Ribera de Arriba;ASTURIAS;EDP ESPAÑA, S.A.U.;PLAZA DE LA GESTA, 2;Oviedo;33007;ASTURIAS;100,00;;;;;;;08.08.1984 00:00;TÉRMICA CLÁSICA;CT CARBÓN;350,000;350,000;346,250;400,000;HIDROCANTÁBRICO DISTRIBUDIÓN, SAU;FERREROS;;;CARBÓN IMPORTADO;FUELOLEO;GASÓLEO;1;;;;;;;;;;;
RO1-0006;TRILLO;DEFINITIVO;Trillo;Trillo;GUADALAJARA;IBERDROLA GENERACIÓN NUCLEAR, S.A.U.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;48,00;NUCLENOR S.A.;2,00;IBERENERGIA, S.A.;15,50;NATURGY GENERACIÓN, S.L.U.;34,50;23.05.1988 00:00;TERMONUCLEAR;CN PWR;1,066,000;1,067,490;1,003,410;400,000;REE;TRILLO;;;NUCLEAR;;;1;;;;;;;;;;;Titular de explotación según Real Decreto-ley 13/2014, de 3 de octubre, por el que se adoptan medidas urgentes en relación con el sistema gasista y la titularidad de centrales nucleares:Agrupación de Interés Económico Centrales Nucleares Almaraz-Trillo (CNAT) 04/10/2014.
RO1-0007;LA BARCA 1;DEFINITIVO;;Tineo;ASTURIAS;EDP ESPAÑA, S.A.U.;PLAZA DE LA GESTA, 2;Oviedo;33007;ASTURIAS;100,00;;;;;;;01.08.1967 00:00;HIDRÁULICA;EMBALSE;26,800;26,800;25,880;132,000;HIDROCANTÁBRICO DISTRIBUCIÓN, SAU;BARCA 132 KV;UGH HIDROCANTÁBRICO;NARCEA;;;;1;;;;;;;;;;;
RO1-0008;LA BARCA 2;DEFINITIVO;;Tineo;ASTURIAS;EDP ESPAÑA, S.A.U.;PLAZA DE LA GESTA, 2;Oviedo;33007;ASTURIAS;100,00;;;;;;;01.08.1967 00:00;HIDRÁULICA;EMBALSE;26,800;26,800;26,210;132,000;HIDROCANTABRICO DISTRIBUCIÓN, SAU;BARCA 132 KV;UGH HIDROCANTÁBRICO;NARCEA;;;;1;;;;;;;;;;;
RO1-0009;LA BARCA 3;DEFINITIVO;;Tineo;ASTURIAS;EDP ESPAÑA, S.A.U.;PLAZA DE LA GESTA, 2;Oviedo;33007;ASTURIAS;100,00;;;;;;;01.11.1974 00:00;HIDRÁULICA;EMBALSE;2,480;2,480;2,600;50,000;HIDROCANTABRICO DISTRIBUCIÓN, SAU;BARCA 50 KV;UGH HIDROCANTÁBRICO;NARCEA;;;;1;;;;;;;;;;;
RO1-0010;FLORIDA 1;DEFINITIVO;;Tineo;ASTURIAS;EDP ESPAÑA, S.A.U.;PLAZA DE LA GESTA, 2;Oviedo;33007;ASTURIAS;100,00;;;;;;;01.01.1952 00:00;HIDRÁULICA;FLUYENTE;1,800;1,800;1,770;50,000;HIDROCANTABRICO DISTRIBUCIÓN, SAU;FLORIDA;UGH HIDROCANTÁBRICO;NARCEA;;;;1;;;;;;;;;;;
RO1-0011;FLORIDA 2;DEFINITIVO;;Tineo;ASTURIAS;EDP ESPAÑA, S.A.U.;PLAZA DE LA GESTA, 2;Oviedo;33007;ASTURIAS;100,00;;;;;;;01.01.1952 00:00;HIDRÁULICA;FLUYENTE;1,800;1,800;1,770;50,000;HIDROCANTABRICO DISTRIBUCIÓN, SAU;FLORIDA;UGH HIDROCANTÁBRICO;NARCEA;;;;1;;;;;;;;;;;
RO1-0012;FLORIDA 3;DEFINITIVO;;Tineo;ASTURIAS;EDP ESPAÑA, S.A.U.;PLAZA DE LA GESTA, 2;Oviedo;33007;ASTURIAS;100,00;;;;;;;01.01.1957 00:00;HIDRÁULICA;FLUYENTE;4,000;4,000;3,940;50,000;HIDROCANTABRICO DISTRIBUCIÓN, SAU;FLORIDA;UGH HIDROCANTÁBRICO;NARCEA;;;;1;;;;;;;;;;;
RO1-0013;LAVIANA 1;DEFINITIVO;PUENTE DE ARCO;Laviana;ASTURIAS;EDP ESPAÑA, S.A.U.;PLAZA DE LA GESTA, 2;Oviedo;33007;ASTURIAS;100,00;;;;;;;01.01.1905 00:00;HIDRÁULICA;FLUYENTE;0,440;0,440;0,433;24,000;HIDROCANTABRICO DISTRIBUCIÓN, SAU;CORUXERA;UGH HIDROCANTÁBRICO;NALÓN;;;;1;;;;;;;;;;;
RO1-0014;LAVIANA 2;DEFINITIVO;PUENTE DE ARCO;Laviana;ASTURIAS;EDP ESPAÑA, S.A.U.;PLAZA DE LA GESTA, 2;Oviedo;33007;ASTURIAS;100,00;;;;;;;01.01.1905 00:00;HIDRÁULICA;FLUYENTE;0,330;0,330;0,330;24,000;HIDROCANTABRICO DISTRIBUCIÓN, SAU;CORUXERA;UGH HIDROCANTÁBRICO;NALON;;;;1;;;;;;;;;;;
RO1-0015;LAVIANA 3;DEFINITIVO;PUENTE DE ARCO;Laviana;ASTURIAS;EDP ESPAÑA, S.A.U.;PLAZA DE LA GESTA, 2;Oviedo;33007;ASTURIAS;100,00;;;;;;;01.01.1905 00:00;HIDRÁULICA;FLUYENTE;0,330;0,330;0,330;24,000;HIDROCANTABRICO DISTRIBUCIÓN, SAU;CORUXERA;UGH HIDROCANTÁBRICO;NALON;;;;1;;;;;;;;;;;
