Name;Company;Business ID;Address;Town;Postal code;Location;Type;Separate power production, Maximum, Total, MW;Separate power production, Maximum, Hour, MW;Separate power production, Decomissioned, Hour, MW;Combined Heat and Power Production, Industry,Maximum, Total, MW;Combined Heat and Power Production, Industry,Hour, Total, MW;Combined Heat and Power Production, Industry, Decomissioned, Total, MW;Combined Heat and Power Production, District Heating, Total, MW;Combined Heat and Power Production, District Heating, Hour, MW;Combined Heat and Power Production, District Heating, Decomissioned, Total, MW;Maximum, total, MW;Hour, total, MW;Decomissioned, Total, MW;Main fuel;Standby fuel ;Standby fuel
Ahvenkoski;Oy Mankala Ab;0158738-4;Sitikkalantie 189;KAUSALA;47400;Ahvenkoski;Hydro power;24;24;0;0;0;0;0;0;0;24;24;0;;;
Aittaluoto 1;Pori Energia Oy;0790442-4;PL 9 (Radanvarsi 2);PORI;28101;Pori Aittaluoto 1;Industry CHP;0;0;0;20.8;15.4;0;0;0;0;20.8;15.4;0;Peat;Industrial wood residues;Industrial wood residues
Aittaluoto 2;Pori Energia Oy;0790442-4;PL 9 (Radanvarsi 2);PORI;28101;Pori Aittaluoto 2;District heating CHP;0;0;0;0;0;0;36;34;0;36;34;0;Peat;Industrial wood residues;Industrial wood residues
Aittokoski;Fortum Power & Heat , Generation;0109160-2;Keilaniementie 1;PL 100;00048 Fortum;Aittokoski;Hydro power;44.8;44.8;0;0;0;0;0;0;0;44.8;44.8;0;;;
Ajos Wind Oy;Ajos Wind Oy;2695578-8;Espoontie 21;Espoo;2740;Ajos Wind Oy;Wind power;42.4;42.4;0;0;0;0;0;0;0;42.4;42.4;0;;;
Alakoski;Alakoski Oy;0153780-3;PL166; Mikkeli;50101;Alakoski, Tampere;Hydro power;4.6;4.6;0;0;0;0;0;0;0;4.6;4.6;0;;;
Alholma AK 1;Oy Alholmens Kraft Ab;1102489-2;PB 250;JAKOBSTAD;68601;AK1;Industry CHP;0;0;0;30;20;0;0;0;0;30;20;0;Industrial wood residues;;Heavy distillates
Alholma AK 2;Oy Alholmens Kraft Ab;1102489-2;PB 250;JAKOBSTAD;68601;AK2;Industry CHP;0;0;0;240;190;0;0;0;0;240;190;0;Peat;Hard coal and anthracite;Industrial wood residues
Anjalankoski;Stora Enso Publication Papers Oy Ltd;8562104;Anjalan tehtaat;Inkeroinen;46900;Inkeroinen (Kouvola);Industry CHP;0;0;0;160.5;160.5;0;0;0;0;160.5;160.5;0;Industrial wood residues;Mixed fuels;
Anjalankoski, G1;Kemijoki Oy;0192171-7;PL 8131;ROVANIEMI;96101;Anjalankoski;Hydro power;20;20;0;0;0;0;0;0;0;20;20;0;;;
Annankangas T1-T10;Suomen Hyötytuuli Oy;1477522-9;PL 305;Pori;28601;Annankangas T1-T10;Wind power;34.5;34.5;0;0;0;0;0;0;0;34.5;34.5;0;;;
Askala;Koskienergia Koskivoima Oy;2447744-7;Kotakennääntie 31;Äänekoski;44100;Askala, Paimio;Hydro power;1.3;1;0;0;0;0;0;0;0;1.3;1;0;;;
Atro;Savon Voima Oyj;0171351-2;PL 1024;Toivala;70901;Lapinlahti, Voimalaitoksentie 1, Syvärinpää;Hydro power;6.5;6.5;0;0;0;0;0;0;0;6.5;6.5;0;;;
Billnäs;Koskienergia Koskivoima Oy;2447744-7;Kotakennääntie 31;Äänekoski;44100;Billnäs, Pohja;Hydro power;1.8;1.8;0;0;0;0;0;0;0;1.8;1.8;0;;;
Björkfors;Oy HERRFORS Ab;;Storgatan 8;68600 Jakobstad;;Björkfors;Hydro power;1.2;0.4;0;0;0;0;0;0;0;1.2;0.4;0;;;
Björknäs kraftvärmeverk;Raseborgs stad / Ekenäs Energi;0131297-0;PB 31, Kungsgatan 14;Ekenäs;10601;Björknäs kraftvärmeverk;District heating CHP;0;0;0;0;0;0;3.7;3.7;0;3.7;3.7;0;Forest fuelwood;;
Elkko;Raahen Tuulienergia Oy;2342631-1;Rantakatu 8 A;Raahen Tuulienergia Oy;92100;Elkko, Raahe;Wind power;6;6;0;0;0;0;0;0;0;6;6;0;;;
Energia-Tietola;Valkeakosken Energia Oy;10321983;PL 89;Valkeakoski;37601;Energia-Tietola;District heating CHP;0;0;0;0;0;0;11.6;11.6;0;11.6;11.6;0;Natural gas;;
Finlayson ve;Tampereen Sähkölaitos;0211675-2;PL 175;TAMPERE;33101;Finlayson ve;Hydro power;4.19;3.8;0;0;0;0;0;0;0;4.19;3.8;0;;;
Forssa kt;Fingrid Oyj;1072894-3;PL 530;Helsinki;101;"Varavoimalantie 6, 30420 Forssa
";Separate electricity production;352;352;0;0;0;0;0;0;0;352;352;0;Medium heavy distillates;;
Haapajärven Savinevan Tuulivoimala;Haapajärven Savinevan Tuulivoima Oy;2566301-1;Salomonkatu 17 A;Helsinki;100;Haapajärven Savinevan Tuulivoima;Wind power;23.1;23.1;0;0;0;0;0;0;0;23.1;23.1;0;;;
Haapajärvi Sauviinmäki;Haapajärvi Sauviinmäki Tuulivoima Oy;2566305-4;Jaakonkatu 3B 7 krs.;Helsinki;100;Haapajärvi Sauviinmäki;Wind power;6.6;6.6;0;0;0;0;0;0;0;6.6;6.6;0;;;
