"Connected body","Location","Entity","street","Number","zipcode","place-name","Date","Fuel","Capacity"
"AMYLUM NEDERLAND B.V.","amylum","Amylum","Lagedijk","5","1541KA","Koog aan de Zaan","04/01/2018","E06","7"
"AMYLUM NEDERLAND B.V.","amylum","Amylum","Lagedijk","5","1541KA","Koog aan de Zaan","04/02/2018","E06","7"
"AMYLUM NEDERLAND B.V.","amylum","Amylum","Lagedijk","5","1541KA","Koog aan de Zaan","04/03/2018","E06","7"
"AMYLUM NEDERLAND B.V.","amylum","Amylum","Lagedijk","5","1541KA","Koog aan de Zaan","04/04/2018","E06","7"
"AMYLUM NEDERLAND B.V.","amylum","Amylum","Lagedijk","5","1541KA","Koog aan de Zaan","04/05/2018","E06","7"
"AMYLUM NEDERLAND B.V.","amylum","Amylum","Lagedijk","5","1541KA","Koog aan de Zaan","04/06/2018","E06","7"
"AMYLUM NEDERLAND B.V.","amylum","Amylum","Lagedijk","5","1541KA","Koog aan de Zaan","04/07/2018","E06","7"
"AMYLUM NEDERLAND B.V.","amylum","Amylum","Lagedijk","5","1541KA","Koog aan de Zaan","04/08/2018","E06","7"
"AMYLUM NEDERLAND B.V.","amylum","Amylum","Lagedijk","5","1541KA","Koog aan de Zaan","04/09/2018","E06","7"
"AMYLUM NEDERLAND B.V.","amylum","Amylum","Lagedijk","5","1541KA","Koog aan de Zaan","04/10/2018","E06","7"
"AMYLUM NEDERLAND B.V.","amylum","Amylum","Lagedijk","5","1541KA","Koog aan de Zaan","04/11/2018","E06","7"
"AMYLUM NEDERLAND B.V.","amylum","Amylum","Lagedijk","5","1541KA","Koog aan de Zaan","04/12/2018","E06","7"
"AMYLUM NEDERLAND B.V.","amylum","Amylum","Lagedijk","5","1541KA","Koog aan de Zaan","04/13/2018","E06","7"
"AMYLUM NEDERLAND B.V.","amylum","Amylum","Lagedijk","5","1541KA","Koog aan de Zaan","04/14/2018","E06","7"
