Vannkraftverk

Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
1;Aall-Ulefoss;Kraftverk;RINGERIKSKRAFT PRODUKSJON AS;987293586;Vestfold og Telemark;38;Nome;16;1948-01-01;1948-01-01;5,7;44,016;10,6;66;0,025;2;016.BA11;
1189;Aaning;Kraftverk;;;Vestland;46;Stryn;51;1999-01-01;1999-01-01;0,016;0,07;;;;3;088.B11;
1096;Aarskog;Kraftverk;FITJAR KRAFTLAG SA;971028548;Vestland;46;Fitjar;15;1996-01-01;1996-01-01;0,83;3,1;;;;2;044.6;
774;Aas;Kraftverk;LØVENSKIOLD FOSSUM KRAFT;982699614;Vestfold og Telemark;38;Skien;07;1908-01-01;1998-01-01;1;4,9422;19;6,5;0,05;2;016.AB;
2;Adamselv;Kraftverk;STATKRAFT ENERGI AS;987059729;Troms og Finnmark Romsa ja Finnmárku;54;Lebesby;38;1973-01-01;1973-01-01;50;215;200;30,19;0,46;4;229.3Z;
1290;Adamselv II;Kraftverk;;;Troms og Finnmark Romsa ja Finnmárku;54;Lebesby;38;2007-01-01;2007-01-01;0,4;2;;;;4;229.3Z;
1268;Aga;Kraftverk;;;Vestland;46;Voss;21;2007-01-01;2007-01-01;0,05;0,25;;;;5;052.1B;
1527;Aklestad;Kraftverk;;;Møre og Romsdal;15;Ørsta;20;2008-01-01;2008-01-01;0,0115;0,1;;;;3;097.1Z;
1677;Akslandselva;Kraftverk;AKSLANDSELVA KRAFTVERK AS;991005625;Vestland;46;Etne;11;2013-07-15;2013-07-15;1,7;6,06;332,5;0,67;0,705;2;042.11Z;
938;Alnes Vannbehandlingsanlegg;Kraftverk;GISKE KOMMUNE;964980721;Møre og Romsdal;15;Giske;32;1997-01-01;1997-01-01;0,06;0,18;;;;3;101.72;
1689;Alsaker;Kraftverk;ALSAKER KRAFT AS;990843805;Vestland;46;Kvinnherad;17;2009-03-17;2009-03-17;1,2;5;157;0,95;0,351;2;042.62Z;
3;Alta;Kraftverk;STATKRAFT ENERGI AS;987059729;Troms og Finnmark Romsa ja Finnmárku;54;Alta;03;1987-05-21;1987-05-21;150;762,3478;185;96,01;0,433;4;212.B6;
808;Andåsfossen;Kraftverk;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Vefsn;24;2001-02-14;2001-02-14;2;6,6495;;4,7;0,118;4;151.A21A1;
1929;Anga;Kraftverk;ANGA KRAFT AS;911605384;Vestland;46;Sunnfjord;47;2019-07-01;2019-07-01;7,8;21,7;56;16,2;0,134;3;084.AA0;
626;Angvik;Kraftverk;ISTAD KRAFT AS;923253920;Møre og Romsdal;15;Gjemnes;57;1990-01-01;1990-01-01;1,1;4,9233;56;2,41;0,127;3;109.1Z;
5;Ardalen;Kraftverk;SMÅKRAFT AS;984616155;Vestland;46;Vaksdal;28;1954-01-01;1954-01-01;2,5;14,0489;120;2,29;0,289;5;061.4B0;
6;Arna;Kraftverk;ARNA KRAFTSELSKAP AS;910267299;Vestland;46;Bergen;01;1934-01-01;1934-01-01;2,2;7,5884;61;4,09;0,149;5;061.1A;
817;Arneselv;Kraftverk;BALLANGEN UTVIKLING HOLDING AS;923093508;Nordland;18;Narvik;06;2004-09-08;2004-09-08;2,4;8;412,8;0,7;0,952;4;173.2Z;
1160;Arstadfossen;Kraftverk;ARSTADFOSSEN KRAFTVERK AS;984735545;Nordland;18;Beiarn;39;2003-12-01;2003-12-01;1;4;;;;4;161.AA0;
1413;Ask Kraft;Kraftverk;ASK Opstvedt;866927472;Rogaland;11;Vindafjord;60;2007-08-10;2007-08-10;0,195;0,8;140;0,24;;2;041.33A;
7;Askerudfoss;Kraftverk;VIUL KRAFT AS;961113539;Viken;30;Ringerike;07;1946-07-01;1946-07-01;13,2;58,0463;20,6;76,38;0,048;1;012.EA6;
986;Aspenes;Kraftverk;ASPENES MIKROKRAFT J,M. Aspenes;988625035;Vestland;46;Bjørnafjorden;24;2005-01-01;2005-01-01;0,055;0,22;;;;5;055.60;
1289;Aunbekken;Kraftverk;INGE KVAAL;988709220;Trøndelag;50;Stjørdal;35;2002-01-01;2002-01-01;0,018;0,1;;;;3;124.C4;
8;Aunfoss;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Grong;45;1959-06-05;1959-06-05;29,54;214,1837;28,5;129,92;0,061;3;139.D2;
9;Aura;Kraftverk;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Sunndal;63;1955-06-24;1955-06-24;290;1852,07;783;46;1,751;3;109.5A1;
1019;Aurdal;Kraftverk;;;Rogaland;11;Vindafjord;60;2002-01-01;2002-01-01;0,02;0,08;40;;;2;038.5C;
10;Aurland I;Kraftverk;E-CO ENERGI AS;976894677;Vestland;46;Aurland;41;1973-01-11;1973-01-11;840;2508,253;850;112,5;2,074;5;072.B1A;
11;Aurland II H;Kraftverk;E-CO ENERGI AS;976894677;Vestland;46;Aurland;41;1983-01-19;1983-01-19;70;259,1953;500;16,1;1,207;5;072.CB2;
12;Aurland II L;Kraftverk;E-CO ENERGI AS;976894677;Vestland;46;Aurland;41;1982-10-05;1982-10-05;60;227,4592;109;61,95;0,268;5;072.CB2;
13;Aurland III;Pumpekraftverk;E-CO ENERGI AS;976894677;Vestland;46;Aurland;41;1979-07-30;1979-07-30;270;170,1262;400;79,95;0,938;5;072.G;
489;Aurland IV (Vangen);Kraftverk;E-CO ENERGI AS;976894677;Vestland;46;Aurland;41;1980-09-25;1980-09-25;38;112,2034;55;90;0,117;5;072.2Z;
338;Aurland V (Reppa);Kraftverk;E-CO ENERGI AS;976894677;Vestland;46;Aurland;41;1984-02-14;1984-02-14;9;29,4468;395;2,59;0,965;5;072.CAA;
793;Austdøla;Kraftverk;AUSTDØLA KRAFT AS;985369534;Vestland;46;Ullensvang;18;2004-01-09;2004-01-09;1,3;6;147;1,1;0,328;2;048.DA;
1162;Austvass;Kraftverk;AUSTVASSKRAFT AS;983640001;Innlandet;34;Nord-Odal;14;2002-01-01;2002-01-01;0,12;0,192;;;;1;002.EB1A;
1839;Baggfossen;Kraftverk;BAGGFOSSEN MIKROKRAFT AS;996861589;Nordland;18;Sørfold;45;2015-12-17;2015-12-17;0,132;0,7;24;0,81;0,046;4;167.2A;
15;Bagn;Kraftverk;SKAGERAK KRAFT AS;979563531;Innlandet;34;Sør-Aurdal;49;1963-01-12;1963-01-12;75,5;293,702;87;99,7;0,21;1;012.J1;
1993;Bakkeelva;Kraftverk;TROLLEKRAFT AS;920387896;Vestland;46;Askvoll;45;2019-11-29;2019-11-29;2,5;8;222;1,4;0,496;3;083.42A;
941;Bakkefossen;Kraftverk;GJERLAND NILS;969449919;Vestland;46;Sunnfjord;47;1994-01-01;1994-01-01;0,0738;0,4;;;;3;083.EA0;
16;Bardufoss;Kraftverk;STATKRAFT ENERGI AS;987059729;Troms og Finnmark Romsa ja Finnmárku;54;Målselv;18;1953-10-01;1953-10-01;41,5;221,3252;52,79;79,69;0,122;4;196.AA3;
17;Bedafors;Kraftverk;E-CO ENERGI AS;976894677;Innlandet;34;Kongsvinger;01;1985-12-01;1985-12-01;1;4,5217;19,29;5,44;0,05;1;313.A1F2;
792;Befring;Kraftverk;BEFRING KRAFT AS;984512481;Vestland;46;Sunnfjord;47;2003-04-07;2003-04-07;4,5;21,3;281;1,9;0,658;3;087.E;
18;Begna;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Viken;30;Ringerike;07;1954-08-01;1954-08-01;5,6;37,1201;8;81,87;0,018;1;012.F23;
1678;Bele;Kraftverk;BELE KRAFT AS;995357895;Møre og Romsdal;15;Surnadal;66;2013-01-19;2013-01-19;2,9;8,64;379;0,94;0,857;3;112.4Z;
910;Bele mikrokraftverk;Kraftverk;BELE KRAFTVERK DA;989814702;Møre og Romsdal;15;Surnadal;66;2007-01-01;2007-01-01;0,082;0,6;91;0,2;;3;112.4Z;
1665;Bentsjord;Kraftverk;BENTSJORD KRAFT AS;990536511;Troms og Finnmark Romsa ja Finnmárku;54;Storfjord-Omasvuotna-Omasvuono;25;2012-06-22;2012-06-22;2,66;6,7;419;0,727;1,016;4;204.92;
991;Berdal;Kraftverk;;;Trøndelag;50;Åfjord;58;1996-01-01;1996-01-01;0,2;0,8;;;;3;135.AAA;
1559;Berdalselva;Kraftverk;BERDALSKRAFT AS;990991251;Møre og Romsdal;15;Rauma;39;2011-03-07;2011-03-07;4,35;13,6;304,3;1,7;0,711;3;103.2A;
1300;Bergbekken;Kraftverk;;;Møre og Romsdal;15;Molde;06;1998-01-01;1998-01-01;0,0014;0,003;18;0,024;0,016;3;105.4B;
1914;Berge;Kraftverk;FJÆRLAND KRAFT AS;916498721;Vestland;46;Sogndal;40;2018-03-06;2018-03-06;7,96;22,3;425;2,4;0,921;5;078.21Z;
1363;Bergelva;Kraftverk;BERGELVA KRAFT AS;989930583;Møre og Romsdal;15;Ålesund;07;2008-05-09;2008-05-09;0,3;1,4;;;;3;102.2Z;
19;Bergerfoss;Kraftverk;AS RANDSFJORD TREMASSE- & PAPIRFABRIKK;915297331;Viken;30;Jevnaker;53;1938-01-01;1938-01-01;3,3;15,2476;5,4;70,51;0,013;1;012.EA8;
1513;Bergesli;Kraftverk;BERGESLI KRAFTVERK AS;990917779;Agder;42;Kvinesdal;27;2008-07-02;2008-07-02;0,78;2;;;;2;025.B3Z;
20;Bergsbotn;Kraftverk;TROMS KRAFT PRODUKSJON AS;979152116;Troms og Finnmark Romsa ja Finnmárku;54;Senja;21;1985-01-01;1985-01-01;7,9;34,7871;354,1;2,59;0,843;4;195.6A0;
1732;Bergselva;Kraftverk;NORDIC POWER AS;914341183;Troms og Finnmark Romsa ja Finnmárku;54;Storfjord-Omasvuotna-Omasvuono;25;2013-09-18;2013-09-18;5,4;11,6;394;1,6;0,938;4;204.82;
1207;Bergsfjord;Kraftverk;YMBER PRODUKSJON AS;914678412;Troms og Finnmark Romsa ja Finnmárku;54;Loppa;32;1959-01-01;2006-12-14;1,1;4;;;;4;211.34A;
