"Manufacturer name";"Generating unit name";"Generating unit code";"Available capacity [MW]";"Voltage [kv]";"Basic fuel";"Comments"
"	PGE Górnictwo i Energetyka Konwencjonalna S.A.";"Bełchatów";"";"5102";"";"Brown coal";""
"";"Bełchatów B02";"BEL 2-02";"370";"220";"";""
"";"Bełchatów B03";"BEL 2-03";"380";"220";"";""
"";"Bełchatów B04";"BEL 2-04";"380";"220";"";""
"";"Bełchatów B05";"BEL 2-05";"380";"220";"";""
"";"Bełchatów B06";"BEL 4-06";"394";"400";"";""
"";"Bełchatów B07";"BEL 4-07";"390";"400";"";""
"";"Bełchatów B08";"BEL 4-08";"390";"400";"";""
"";"Bełchatów B09";"BEL 4-09";"390";"400";"";""
"";"Bełchatów B10";"BEL 4-10";"390";"400";"";""
"";"Bełchatów B11";"BEL 4-11";"390";"400";"";""
"";"Bełchatów B12";"BEL 4-12";"390";"400";"";""
"";"Bełchatów B14";"BEL 4-14";"858";"400";"";""
"PGE Górnictwo i Energetyka Konwencjonalna S.A.";"Dolna Odra";"";"1357";"";"Black coal";""
"";"Dolna Odra B1";"DOD 1-01";"222";"110";"";""
"";"Dolna Odra B2";"DOD 2-02";"232";"220";"";""
"";"Dolna Odra B5";"DOD 2-05";"222";"220";"";""
"";"Dolna Odra B6";"DOD 4-06";"222";"400";"";""
"";"Dolna Odra B7";"DOD 4-07";"227";"400";"";""
"";"Dolna Odra B8";"DOD 4-08";"232";"400";"";""
"PGE Energia Odnawialna S.A.";"Dychów";"";"85";"";"Water";""
"";"Dychów H1";"DCHA1-01";"28";"110";"";""
"";"Dychów H2";"DCHA1-02";"29";"110";"";""
"";"Dychów H3";"DCHA1-03";"28";"110";"";""
"TAURON Wytwarzanie S.A.";"Jaworzno 3";"";"1345";"";"Black coal";""
"";"Jaworzno 3 B1";"JW3 2-01";"225";"220";"";""
"";"Jaworzno 3 B2";"JW3 2-02";"225";"220";"";""
"";"Jaworzno 3 B3";"JW3 1-03";"225";"110";"";""
"";"Jaworzno 3 B4";"JW3 2-04";"225";"220";"";""
"";"Jaworzno 3 B5";"JW3 2-05";"220";"220";"";""
"";"Jaworzno 3 B6";"JW3 2-06";"225";"220";"";""
"Veolia Energia Poznań ZEC S.A.";"Karolin";"";"212";"";"Black coal";""
"";"Karolin B2";"KAR 1-02";"100";"110";"";""
"";"Karolin B3";"KAR 1-03";"112";"110";"";""
"ENEA Wytwarzanie Sp. z o.o.";"Kozienice 1";"";"1821";"";"Black coal";""
"";"Kozienice 1 B1";"KOZ12-01";"228";"220";"";""
"";"Kozienice 1 B2";"KOZ11-02";"228";"110";"";""
"";"Kozienice 1 B3";"KOZ12-03";"225";"220";"";""
"";"Kozienice 1 B4";"KOZ12-04";"228";"220";"";""
"";"Kozienice 1 B5";"KOZ12-05";"228";"220";"";""
"";"Kozienice 1 B6";"KOZ11-06";"228";"110";"";""
"";"Kozienice 1 B7";"KOZ12-07";"228";"220";"";""
"";"Kozienice 1 B8";"KOZ12-08";"228";"220";"";""
"ENEA Wytwarzanie Sp. z o.o.";"Kozienice 2";"";"2195";"";"Black coal";""
"";"Kozienice 2 B09";"KOZ24-09";"560";"400";"";""
"";"Kozienice 2 B10";"KOZ24-10";"560";"400";"";""
"";"Kozienice 2 B11";"KOZ24-11";"1075";"400";"";""
"TAURON Wytwarzanie S.A.";"Łagisza";"";"700";"";"Black coal";""
"";"Łagisza B10";"LGA 4-10";"460";"400";"";""
"";"Łagisza B6";"LGA 2-06";"120";"220";"";""
"";"Łagisza B7";"LGA 2-07";"120";"220";"";""
"TAURON Wytwarzanie S.A.";"Łaziska 2";"";"250";"";"Black coal";""
"";"Łaziska 2 B1";"LZA21-01";"125";"110";"";""
"";"Łaziska 2 B2";"LZA21-02";"125";"110";"";""
"TAURON Wytwarzanie S.A.";"Łaziska 3";"";"905";"";"Black coal";""
"";"Łaziska 3 B09";"LZA31-09";"230";"110";"";""
"";"Łaziska 3 B10";"LZA31-10";"225";"110";"";""
"";"Łaziska 3 B11";"LZA32-11";"225";"220";"";""
"";"Łaziska 3 B12";"LZA32-12";"225";"220";"";""
"PGE Górnictwo i Energetyka Konwencjonalna S.A.";"Opole";"";"3342";"";"Black coal";""
"";"Opole B1";"OPL 1-01";"386";"110";"";""
"";"Opole B2";"OPL 1-02";"383";"110";"";""
"";"Opole B3";"OPL 4-03";"383";"400";"";""
"";"Opole B4";"OPL 4-04";"380";"400";"";""
"";"Opole B5";"OPL 4-05";"905";"400";"";""
"";"Opole B6";"OPL 4-06";"905";"400";"";""
"	ENERGA Elektrownie Ostrołęka S.A.";"Ostrołęka B";"";"690";"";"Black coal";""
"";"Ostrołęka B B01";"OSB 2-01";"230";"220";"";""
"";"Ostrołęka B B02";"OSB 2-02";"230";"220";"";""
"";"Ostrołęka B B03";"OSB 1-03";"230";"110";"";""
"	Zespół Elektrowni Pątnów-Adamów-Konin S.A.";"Pątnów 1";"";"1244";"";"Brown coal";""
"";"Pątnów 1 B1";"PAT11-01";"222";"110";"";""
