company,name,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon
Soške elektrarne Nova Gorica (SENG),Ajba,,,,SI,0.25,Hydro,,,,,2008,,https://www.seng.si/en/hydropower-plants/small-hydropower-plants/,,,
Hidroelektrarne na Spodnji Savi (HESS),Arto-Blanca G1,,,,SI,13.04,Hydro,Run-of-river,,,,2009,,http://www.he-ss.si/eng/he-blanca-general-info.html,,45.99027,15.38183
Hidroelektrarne na Spodnji Savi (HESS),Arto-Blanca G2,,,,SI,13.04,Hydro,Run-of-river,,,,2009,,http://www.he-ss.si/eng/he-blanca-general-info.html,,45.99027,15.38183
Hidroelektrarne na Spodnji Savi (HESS),Arto-Blanca G3,,,,SI,13.04,Hydro,Run-of-river,,,,2009,,http://www.he-ss.si/eng/he-blanca-general-info.html,,45.99027,15.38183
Soške elektrarne Nova Gorica (SENG),Avče,,,,SI,185,Hydro,Pumped storage,,,,2009,,https://www.seng.si/en/hydropower-plants/pumped-storage-hydropower-plant/,28W-G-0000000009,46.08412,13.66757
Soške elektrarne Nova Gorica (SENG),Bača,,,,SI,0.5,Hydro,,,,,1991,,https://www.seng.si/en/hydropower-plants/small-hydropower-plants/,,,
Hidroelektrarne na Spodnji Savi (HESS),Boštanj G1,,,,SI,10.84,Hydro,Run-of-river,,,,2006,,http://www.he-ss.si/eng/he-bostanj-general-info.html,,46.01704,15.28121
Hidroelektrarne na Spodnji Savi (HESS),Boštanj G2,,,,SI,10.84,Hydro,Run-of-river,,,,2006,,http://www.he-ss.si/eng/he-bostanj-general-info.html,,46.01704,15.28121
Hidroelektrarne na Spodnji Savi (HESS),Boštanj G3,,,,SI,10.84,Hydro,Run-of-river,,,,2006,,http://www.he-ss.si/eng/he-bostanj-general-info.html,,46.01704,15.28121
Termoelektrarna Brestanica (TEB),Brestanica GT1,Cesta prvih borcev 18,8280,Brestanica,SI,23,Natural gas,Gas turbine,,,,1975,will be replaced by GT 6 & 7,http://www.teb.si/en/production-units,28W-G-000000122W,45.99757,15.47853
Termoelektrarna Brestanica (TEB),Brestanica GT2,Cesta prvih borcev 19,8280,Brestanica,SI,23,Natural gas,Gas turbine,,,,1975,will be replaced by GT 6 & 7,http://www.teb.si/en/production-units,28W-G-000000122W,45.99757,15.47853
Termoelektrarna Brestanica (TEB),Brestanica GT3,Cesta prvih borcev 20,8280,Brestanica,SI,23,Natural gas,Gas turbine,,,,1975,will be replaced by GT 6 & 7,http://www.teb.si/en/production-units,28W-G-000000122W,45.99757,15.47853
Termoelektrarna Brestanica (TEB),Brestanica GT4,Cesta prvih borcev 21,8280,Brestanica,SI,114,Natural gas,Gas turbine,,,,2000,,http://www.teb.si/en/production-units,28W-G-000000122W,45.99757,15.47853
Termoelektrarna Brestanica (TEB),Brestanica GT5,Cesta prvih borcev 22,8280,Brestanica,SI,114,Natural gas,Gas turbine,,,,2000,,http://www.teb.si/en/production-units,28W-G-000000122W,45.99757,15.47853
Termoelektrarna Brestanica (TEB),Brestanica GT6,Cesta prvih borcev 22,8280,Brestanica,SI,53,Natural gas,Gas turbine,,,,,,http://www.teb.si/en/production-units,28W-G-000000122W,45.99757,15.47853
Hidroelektrarne na Spodnji Savi (HESS),Brežice G1,,,,SI,15.8,Hydro,Run-of-river,,,,2017,,http://www.he-ss.si/eng/he-brezice-general-info.html,,45.89888,15.5882
Hidroelektrarne na Spodnji Savi (HESS),Brežice G2,,,,SI,15.8,Hydro,Run-of-river,,,,2017,,http://www.he-ss.si/eng/he-brezice-general-info.html,,45.89888,15.5882
Hidroelektrarne na Spodnji Savi (HESS),Brežice G3,,,,SI,15.8,Hydro,Run-of-river,,,,2017,,http://www.he-ss.si/eng/he-brezice-general-info.html,,45.89888,15.5882
Soške elektrarne Nova Gorica (SENG),Cerkno,,,,SI,0.436,Hydro,,,,,1984,,https://www.seng.si/en/hydropower-plants/small-hydropower-plants/,,,
Dravske elektrarne Maribor (DEM),Ceršak G1,,,,SI,0.325,Hydro,Run-of-river,,,,1955,,http://www.dem.si/en-gb/Power-plants-and-generation/General-data,,,
Dravske elektrarne Maribor (DEM),Ceršak G2,,,,SI,0.325,Hydro,Run-of-river,,,,1955,,http://www.dem.si/en-gb/Power-plants-and-generation/General-data,,,
Soške elektrarne Nova Gorica (SENG),Doblar 1 G1,,,,SI,10,Hydro,Run-of-river,,,,1939,,https://www.seng.si/en/hydropower-plants/large-hydropower-plants/,,46.11382,13.68811
Soške elektrarne Nova Gorica (SENG),Doblar 1 G2,,,,SI,10,Hydro,Run-of-river,,,,1939,,https://www.seng.si/en/hydropower-plants/large-hydropower-plants/,,46.11382,13.68811
Soške elektrarne Nova Gorica (SENG),Doblar 1 G3,,,,SI,10,Hydro,Run-of-river,,,,1939,,https://www.seng.si/en/hydropower-plants/large-hydropower-plants/,,46.11382,13.68811
Soške elektrarne Nova Gorica (SENG),Doblar 2,,,,SI,40,Hydro,Run-of-river,,,,2002,,https://www.seng.si/en/hydropower-plants/large-hydropower-plants/,,46.11382,13.68811
Dravske elektrarne Maribor (DEM),Dravograd G1,,,,SI,8.73,Hydro,Run-of-river,,,,1944,,http://www.dem.si/en-gb/Power-plants-and-generation/General-data,,46.58558,15.01881
Dravske elektrarne Maribor (DEM),Dravograd G2,,,,SI,8.73,Hydro,Run-of-river,,,,1944,,http://www.dem.si/en-gb/Power-plants-and-generation/General-data,,46.58558,15.01881
Dravske elektrarne Maribor (DEM),Dravograd G3,,,,SI,8.73,Hydro,Run-of-river,,,,1955,,http://www.dem.si/en-gb/Power-plants-and-generation/General-data,,46.58558,15.01881
Dravske elektrarne Maribor (DEM),Fala G1,,,,SI,19.3,Hydro,Run-of-river,,,,1918,,http://www.dem.si/en-gb/Power-plants-and-generation/General-data,,46.55874,15.44511
Dravske elektrarne Maribor (DEM),Fala G2,,,,SI,19.3,Hydro,Run-of-river,,,,1918,,http://www.dem.si/en-gb/Power-plants-and-generation/General-data,,46.55874,15.44511
