Company Name;Station Name;Fuel;Type;Installed Capacity (MW);Year of commission or year generation began;"Location:
Scotland, Wales, Northern Ireland or English region";Footnotes
AES;Kilroot;Coal;Conventional Steam;559;1981;Northern Ireland;
AES;Ballylumford B GT1 & GT2;Diesel/gas oil;OCGT;116;1974;Northern Ireland;
AES;Kilroot GT;Diesel/gas oil;OCGT;143.2;1981;Northern Ireland;
AES;Ballylumford C;Natural gas;CCGT;616;2003;Northern Ireland;
Anesco;Abergelli;Solar;Solar;7.7;2015;Wales;
Anesco;Anglesey ;Solar;Solar;14.9;2014;Wales;
Anesco;Ashton;Solar;Solar;4.8;2017;South West;
Anesco;Askern;Solar;Solar;5;2015;Yorkshire and Humber;
Anesco;Beeches;Solar;Solar;5;2016;West Midlands;
Anesco;Berry Court;Solar;Solar;3.9;2016;South East;
Anesco;Bilsthorpe ;Solar;Solar;5.7;2014;East Midlands;
Anesco;Blackdown ;Solar;Solar;7.5;2014;South West;
Anesco;Blackwell;Solar;Solar;5;2017;West Midlands;
Anesco;Blue House;Solar;Solar;5;2016;North East;
Anesco;Bourne Park ;Solar;Solar;0.2;2012;South West;
Anesco;Bourne Park 2 ;Solar;Solar;2.4;2015;South West;
Anesco;Bristol Water;Solar;Solar;1.1;2017;South West;
Anesco;Brook hall ;Solar;Solar;4.7;2016;South West;
Anesco;Brookbarn;Solar;Solar;3.6;2015;South East;
Anesco;Brookside ;Solar;Solar;5;2016;West Midlands;
Anesco;Bulls Head North;Solar;Solar;5.5;2014;East Midlands;
Anesco;Bumpers Farm;Solar;Solar;5;2017;South East;
Anesco;Cotgrave;Solar;Solar;5;2015;East Midlands;
Anesco;Culworth ;Solar;Solar;3.6;2015;East Midlands;
Anesco;East Appleton;Solar;Solar;5;2016;Yorkshire and Humber;
Anesco;East Farm ;Solar;Solar;6.8;2013;South West;
Anesco;Fell View ;Solar;Solar;4.3;2016;North West;
Anesco;Gedling;Solar;Solar;5.7;2015;East Midlands;
Anesco;Grange Farm ;Solar;Solar;5.8;2013;South West;
Anesco;Grimsargh ;Solar;Solar;2.9;2016;North West;
Anesco;Hale;Solar;Solar;3.6;2015;South West;
Anesco;Hermitage ;Solar;Solar;5;2016;East England;
Anesco;Higher Bye;Solar;Solar;6.8;2015;South West;
Anesco;Homestead;Solar;Solar;4;2015;South East;
Anesco;Hungerford ;Solar;Solar;4.5;2016;South East;
Anesco;Huntingdon ;Solar;Solar;10.2;2014;East England;
Anesco;Hyde Farm;Solar;Solar;4.9;2017;South East;
Anesco;Lee Moor;Solar;Solar;5;2016;South West;
Anesco;Limberlost ;Solar;Solar;1.6;2013;South East;
Anesco;Lodge Farm;Solar;Solar;4.9;2015;East Midlands;
Anesco;Low Burntoft ;Solar;Solar;5;2016;North East;
Anesco;Lucern;Solar;Solar;4.7;2016;West Midlands;
Anesco;Mendip ;Solar;Solar;7.2;2014;South West;
Anesco;Moss Thorn;Solar;Solar;5;2017;North West;
Anesco;Nanthenfoel;Solar;Solar;5;2017;Wales;
Anesco;New Kaine;Solar;Solar;1.8;2015;South East;
Anesco;Newnton Dairy ;Solar;Solar;7.2;2014;South West;
Anesco;Oak Cottage;Solar;Solar;4.9;2015;Wales;
Anesco;Oakham;Solar;Solar;4.6;2016;South West;
Anesco;Ollerton;Solar;Solar;4.2;2017;East Midlands;
Anesco;Owls Lodge ;Solar;Solar;10;2013;South East;
Anesco;Oxcroft;Solar;Solar;4.2;2016;East Midlands;
Anesco;Palmersford;Solar;Solar;3;2016;South West;
Anesco;Pen-Y-Cae;Solar;Solar;6.8;2015;Wales;
Anesco;Pierces Farm;Solar;Solar;1.7;2015;South East;
Anesco;Playters;Solar;Solar;6.6;2015;East England;
Anesco;Portworthy;Solar;Solar;4;2015;South West;
Anesco;Puriton;Solar;Solar;4.6;2011;South West;
Anesco;Radcliffe;Solar;Solar;4.2;2015;East Midlands;
Anesco;Rainbow ;Solar;Solar;4.8;2015;South West;
Anesco;Salcey Farm ;Solar;Solar;5.5;2014;South East;
Anesco;Sandys Moor ;Solar;Solar;2.9;2013;South West;
Anesco;Saron;Solar;Solar;6.3;2015;Wales;
Anesco;Shalfleet;Solar;Solar;5;2015;South East;
Anesco;Sheep Shed ;Solar;Solar;5;2016;West Midlands;
Anesco;Shelswell ;Solar;Solar;5.1;2013;South East;
Anesco;Skegness ;Solar;Solar;10.7;2016;East Midlands;
Anesco;Skylark;Solar;Solar;4.9;2013;East England;
Anesco;Slepe Farm ;Solar;Solar;0.5;2011;South West;
Anesco;Spring Lane;Solar;Solar;1;2017;East Midlands;
Anesco;Stables;Solar;Solar;2;2014;East Midlands;
Anesco;Steventon ;Solar;Solar;10;2014;South East;
Anesco;Stripe;Solar;Solar;5;2016;Yorkshire and Humber;
Anesco;Stud Farm ;Solar;Solar;2.4;2016;East Midlands;
Anesco;The Leys;Solar;Solar;5;2016;West Midlands;
Anesco;The Oaks;Solar;Solar;4.7;2016;West Midlands;
Anesco;The Rushes ;Solar;Solar;5;2016;West Midlands;
Anesco;Tope Farm;Solar;Solar;3.3;2014;South West;
Anesco;Trickey Warren;Solar;Solar;4.6;2015;South West;
Anesco;Warren ;Solar;Solar;5;2016;South East;
Anesco;Welbeck ;Solar;Solar;11.3;2014;East Midlands;
Anesco;Whitchurch;Solar;Solar;6.5;2014;South West;
Anesco;Woodtown;Solar;Solar;2.7;2015;South West;
Anesco;Wymeswold ;Solar;Solar;2.1;2016;East Midlands;
Anesco;Wymeswold - Wide Lane;Solar;Solar;4.3;2016;East Midlands;
Anesco;Yarburgh;Solar;Solar;8.1;2015;East Midlands;
BayWa R.E;Beinneun;Wind (onshore);Wind (onshore);108.8;2017;Scotland;
BayWa R.E;Cour;Wind (onshore);Wind (onshore);20.5;2017;Scotland;
BayWa R.E;Grange;Wind (onshore);Wind (onshore);12.3;2016;Yorkshire and Humber;
BayWa R.E;Hillhead of Auquhirie;Wind (onshore);Wind (onshore);6.9;2013;Scotland;
British Solar Renewables;Bradenstoke;Solar;Solar;69.8;2015;South West;
British Solar Renewables;Butleigh;Solar;Solar;5;2011;South West;
British Solar Renewables;Copley Wood;Solar;Solar;1.5;2015;South West;
British Solar Renewables;Higher Hill;Solar;Solar;5;2011;South West;
British Solar Renewables;Long Ash Lane;Solar;Solar;5;2017;South West;
Calon Energy;Baglan Bay GT;Diesel/gas oil;OCGT;32.3;2002;Wales;
Calon Energy;Baglan Bay;Natural gas;CCGT;520;2002;Wales;
Calon Energy;Severn Power;Natural gas;CCGT;850;2010;Wales;
Calon Energy;Sutton Bridge;Natural gas;CCGT;819;1999;East Midlands;
Centrica;Glanford Brigg;Natural gas;OCGT;99;1994;Yorkshire and Humber;-2
Centrica;Peterborough;Natural gas;OCGT;245;1993;East England;-2
