company,name,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon
,Abwinden-Asten,,,,AT,168.0,Hydro,Run-of-river,,,,1980.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-BAA-KW-----D,48.248186,14.429929
,Altenmarkt,,,,AT,26.0,Hydro,Run-of-river,,,,1960.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
,Altenwörth,,,,AT,328.0,Hydro,Run-of-river,,,,1976.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-BAW-KW-----F,48.374728,15.855343
,Annabrücke,,,,AT,90.0,Hydro,Run-of-river,,,,1981.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.561407,14.479829
,Arnstein,,,,AT,30.0,Hydro,Reservoir,,,,1925.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.01822,15.16064
,Aschach,,,,AT,287.0,Hydro,Run-of-river,,,,1964.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-BAS-KW-----I,48.385414,14.0227
,Bischofshofen,,,,AT,16.0,Hydro,Run-of-river,,,,1986.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.4069,13.220614
,Bodendorf-Mur,,,,AT,7.0,Hydro,Run-of-river,,,,1982.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.107688,14.065071
,Bodendorf-Paal,,,,AT,27.0,Hydro,Reservoir,,,,1982.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.107717,14.065156
,Bösdornau,,,,AT,25.0,Hydro,Reservoir,,,,1940.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.15192,11.833298
,Braunau-Simbach,,,,AT,100.0,Hydro,Run-of-river,,,,1954.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,48.244957,13.0075
,Dionysen,,,,AT,16.0,Hydro,Run-of-river,,,,1949.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
,Edling,,,,AT,87.0,Hydro,Run-of-river,,,,1962.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.628959,14.701371
,Egglfing-Obernberg,,,,AT,84.0,Hydro,Run-of-river,,,,1944.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,48.319842,13.318739
,Ering-Frauenstein,,,,AT,72.0,Hydro,Run-of-river,,,,1943.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,48.290628,13.159357
,Erzbach,,,,AT,1.0,Hydro,Run-of-river,,,,1986.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.573384,14.839885
,Feistritz-Ludmannsdorf,,,,AT,88.0,Hydro,Run-of-river,,,,1968.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.534807,14.170814
,Ferlach-Maria Rain,,,,AT,75.0,Hydro,Run-of-river,,,,1975.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.546625,14.298528
,Fisching,,,,AT,22.0,Hydro,Run-of-river,,,,1994.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.1743,14.723143
,Friesach,,,,AT,12.0,Hydro,Run-of-river,,,,1998.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.186513,15.336014
,Funsingau,,,,AT,25.0,Hydro,Reservoir,,,,1968.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.235342,12.05805
,Gabersdorf,,,,AT,14.0,Hydro,Run-of-river,,,,1974.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.785118,15.585557
