company,name,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon
,Åbjøra G1,,,,NO,100,Hydro,Reservoir,Zone: NO-1,,,,,Nordpool,50WP00000000855F,60.916976,9.378796
,Alta G1,,,,NO,100,Hydro,Reservoir,Zone: NO-4,,,,,Nordpool,50WP00000000006N,69.705012,23.818703
,Aurland 1 G1,,,,NO,230,Hydro,Reservoir,Zone: NO-5,,,,,Nordpool,50WP00000000020T,60.86052,7.304738
,Aurland 1 G2,,,,NO,230,Hydro,Reservoir,Zone: NO-5,,,,,Nordpool,50WP00000000020T,60.86052,7.304738
,Aurland 1 G3,,,,NO,230,Hydro,Reservoir,Zone: NO-5,,,,,Nordpool,50WP00000000020T,60.86052,7.304738
,Aurland 3 G1,,,,NO,140,Hydro,Reservoir,Zone: NO-5,,,,,Nordpool,50WP00000000023N,60.80109,7.566662
,Aurland 3 G2,,,,NO,150,Hydro,Reservoir,Zone: NO-5,,,,,Nordpool,50WP00000000023N,60.80109,7.566662
,Blåfalli vik G1,,,,NO,230,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000063B,59.846062,5.986961
,Brokke G4,,,,NO,115,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,,59.124858,7.509912
,Dale 2 G1,,,,NO,114,Hydro,Reservoir,Zone: NO-5,,,,,Nordpool,50WP00000000100V,60.58344,5.81926
,Duge G1,,,,NO,100,Hydro,Pumped storage,Zone: NO-2,,,,,Nordpool,50WP00000000119A,59.131931,6.89742
,Duge G2,,,,NO,100,Hydro,Pumped storage,Zone: NO-2,,,,,Nordpool,50WP00000000119A,59.131931,6.89742
,Evanger G1,,,,NO,110,Hydro,Reservoir,Zone: NO-5,,,,,Nordpool,50WP00000000144B,60.656951,6.112152
,Evanger G2,,,,NO,110,Hydro,Reservoir,Zone: NO-5,,,,,Nordpool,50WP00000000144B,60.656951,6.112152
,Evanger G3,,,,NO,110,Hydro,Reservoir,Zone: NO-5,,,,,Nordpool,50WP00000000144B,60.656951,6.112152
,Grytten G1,,,,NO,143,Hydro,Reservoir,Zone: NO-3,,,,,Nordpool,50WP000000002293,62.492536,8.804476
,Holen 1-2 G1,,,,NO,120,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP000000002811,59.345375,7.249102
,Holen 1-2 G2,,,,NO,120,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP000000002811,59.345375,7.249102
,Holen 3 G1,,,,NO,175,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP000000002811,59.345375,7.249102
