company,name,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon
,Åby (Örebro) G3,,,,SE,106,Biomass and biogas,,Zone: SE-3,CHP,yes,,,Nordpool,46WPU0000000063L,59.266045,15.179402
,Aros (Västerås) G3,,,,SE,243,Oil,Steam turbine,Zone: SE-3,,,,,Nordpool,46WPU0000000064J,59.587937,16.512506
,Aros (Västerås) G4,,,,SE,192,Mixed fossil fuels,,Zone: SE-3,CHP,yes,,,Nordpool,,59.587937,16.512506
,Bastusel G1,,,,SE,100,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000038K,65.403606,18.673154
,Forsmark G11+G12,,,,SE,984,Nuclear,Steam turbine,Zone: SE-3,,,,,Nordpool,46WPU0000000015W,60.403993,18.174347
,Forsmark G21+G22,,,,SE,1120,Nuclear,Steam turbine,Zone: SE-3,,,,,Nordpool,46WPU0000000016U,60.403993,18.174347
,Forsmark G3,,,,SE,1187,Nuclear,Steam turbine,Zone: SE-3,,,,,Nordpool,46WPU0000000017S,60.403993,18.174347
,Fyris (Uppsala) G1,,,,SE,120,Biomass and biogas,,Zone: SE-3,CHP,yes,,,Nordpool,46WPU0000000055K,59.852308,17.678173
,Gallejaur G1,,,,SE,113,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000039I,65.127297,19.467367
,Gallejaur G2,,,,SE,101,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000039I,65.127297,19.467367
,Harsprånget G1,,,,SE,120,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000029L,66.885309,19.818399
,Harsprånget G3,,,,SE,120,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000029L,66.885309,19.818399
,Harsprånget G4,,,,SE,175,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000029L,66.885309,19.818399
,Harsprånget G5,,,,SE,440,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000029L,66.885309,19.818399
,Karlshamn G1,,,,SE,334,Oil,Steam turbine,Zone: SE-4,,,,,Nordpool,46WPU0000000005Z,56.152251,14.833831
,Karlshamn G2,,,,SE,334,Oil,Steam turbine,Zone: SE-4,,,,,Nordpool,46WPU0000000005Z,56.152251,14.833831
,Karlshamn G3,,,,SE,328,Oil,Steam turbine,Zone: SE-4,,,,,Nordpool,46WPU0000000005Z,56.152251,14.833831
,Letsi G1,,,,SE,145,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000035Q,66.503203,20.380167
,Letsi G2,,,,SE,145,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000035Q,66.503203,20.380167
,Letsi G3,,,,SE,145,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000035Q,66.503203,20.380167
,Ligga G3,,,,SE,175,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000031Y,66.80939,19.896293
,Messaure G1 ,,,,SE,150,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000032W,66.691226,20.345341
,Messaure G2 ,,,,SE,150,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000032W,66.691226,20.345341
,Messaure G3 ,,,,SE,150,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000032W,66.691226,20.345341
,Öresundsverket (Malmö) G1+G2,,,,SE,448,Natural gas,Combined cycle,Zone: SE-4,,,,,Nordpool,46WPU00000000040,55.625626,13.040265
,Oskarshamn G1,,,,SE,473,Nuclear,Steam turbine,Zone: SE-3,,,,,Nordpool,46WPU0000000059C,57.417124,16.673074
,Oskarshamn G2,,,,SE,638,Nuclear,Steam turbine,Zone: SE-3,,,,,Nordpool,,57.417124,16.673074
,Oskarshamn G3,,,,SE,1400,Nuclear,Steam turbine,Zone: SE-3,,,,,Nordpool,46WPU0000000061P,57.417124,16.673074
,Porjus G11 ,,,,SE,235,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000028N,66.954281,19.796076
,Porjus G12 ,,,,SE,220,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000028N,66.954281,19.796076
,Porsi G3 ,,,,SE,107,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000036O,66.428961,20.653796
,Ringhals G11+G12,,,,SE,865,Nuclear,Steam turbine,Zone: SE-3,,,,,Nordpool,46WPU00000000105,57.258987,12.110433
,Ringhals G21+G22,,,,SE,865,Nuclear,Steam turbine,Zone: SE-3,,,,,Nordpool,46WPU00000000113,57.258987,12.110433
,Ringhals G31+G32,,,,SE,1062,Nuclear,Steam turbine,Zone: SE-3,,,,,Nordpool,46WPU00000000121,57.258987,12.110433
,Ringhals G41+G42,,,,SE,938,Nuclear,Steam turbine,Zone: SE-3,,,,,Nordpool,46WPU0000000014Y,57.258987,12.110433
,Ritsem G1 ,,,,SE,320,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000026R,67.729796,17.48494
,Rya kraftvärmeverk (Göteborg),,,,SE,260,Natural gas,Combined cycle,Zone: SE-3,CHP,yes,,,Nordpool,46WPU0000000062N,57.692831,11.890257
,Seitevare G1 ,,,,SE,225,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000033U,66.976846,18.573706
,Stalon G1,,,,SE,130,Hydro,Reservoir,Zone: SE-2,,,,,Nordpool,46WPU0000000043R,64.945753,15.827496
,Stenungsund G3,,,,SE,260,Oil,Steam turbine,Zone: SE-3,,,,,Nordpool,46WPU0000000056I,58.086598,11.844533
,Stenungsund G4,,,,SE,260,Oil,Steam turbine,Zone: SE-3,,,,,Nordpool,46WPU0000000057G,58.086598,11.844533
,Stornorrfors G1,,,,SE,135,Hydro,Reservoir,Zone: SE-2,,,,,Nordpool,46WPU0000000042T,63.85198,20.051344
,Stornorrfors G2,,,,SE,135,Hydro,Reservoir,Zone: SE-2,,,,,Nordpool,46WPU0000000042T,63.85198,20.051344
,Stornorrfors G3,,,,SE,135,Hydro,Reservoir,Zone: SE-2,,,,,Nordpool,46WPU0000000042T,63.85198,20.051344
,Stornorrfors G4,,,,SE,170,Hydro,Reservoir,Zone: SE-2,,,,,Nordpool,46WPU0000000042T,63.85198,20.051344
,Trängslet G1,,,,SE,100,Hydro,Reservoir,Zone: SE-3,,,,,Nordpool,46WPU0000000018Q,61.381645,13.731379
,Trängslet G2,,,,SE,100,Hydro,Reservoir,Zone: SE-3,,,,,Nordpool,46WPU0000000018Q,61.381645,13.731379
,Trängslet G3,,,,SE,130,Hydro,Reservoir,Zone: SE-3,,,,,Nordpool,46WPU0000000018Q,61.381645,13.731379
,Värtan (Stockholm) G1,,,,SE,190,Mixed fossil fuels,,Zone: SE-3,CHP,yes,,,Nordpool,46WPU0000000023X,59.352713,18.103412
,Värtan (Stockholm) G6,,,,SE,130,Hard coal,Steam turbine,Zone: SE-3,CHP,yes,,,Nordpool,46WPU0000000023X,59.352713,18.103412
,Vietas G1 ,,,,SE,165,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000027P,67.493432,18.353512
,Vietas G2 ,,,,SE,165,Hydro,Reservoir,Zone: SE-1,,,,,Nordpool,46WPU0000000027P,67.493432,18.353512
