,name,eic_code,lat,lon
0,Jemeppe-sur-Sambre GT1,,50.44746,4.66339
1,Jemeppe-sur-Sambre GT2,,50.44746,4.66339
2,Jemeppe-sur-Sambre ST,,50.44746,4.66339
3,EDF Luminus Angleur GT41,,50.61775,5.58267
4,EDF Luminus Angleur GT42,,50.61775,5.58267
5,EDF Luminus Ham GT31,,51.05942,3.73646
6,EDF Luminus Ham GT32,,51.05942,3.73646
7,EDF Luminus Ham WKK,,51.05942,3.73646
8,EDF Luminus Lixhe HU,,50.75178,5.6878
9,EDF Luminus Ringvaart STEG,22WRINGVA000209C,51.10496,3.72567
10,HU AMPSIN-NEUVILLE,,50.53381,5.29636
11,HU ANDENNE,,50.49179,5.06975
12,HU FLORIFFOUX,,50.44663,4.77389
13,HU GRAND-MALADES,,50.46595,4.89928
14,HU IVOZ-RAMET,,50.59349,5.46137
15,HU MONSIN,,50.65317,5.63137
16,Indaver-Sleco Doel GEN1,,,
17,Indaver-Sleco Doel GEN2,,,
18,Taminco Gent WKK,,,
19,AALTER TJ,,,
20,Amercoeur 1 R TGV,22WAMERCO000010Y,50.43004,4.39518
21,ArcelorMittal Belgium Gent - EBL - Knippegroen STE,,51.15861,3.80746
22,ArcelorMittal Belgium Gent - Zelzate TJ,22WZELZAT0002618,51.15879,3.80815
23,Arlanxeo Zwijndrecht GT,,,
24,Arlanxeo Zwijndrecht ST,,,
25,AWIRS 4,,50.58508,5.41886
26,BEERSE TJ,,,
27,BUTGENBACH,,,
28,CIERREUX TJ,,,
29,COO I T,22WCOOXIX000067T,50.38254,5.84414
30,COO II T,22WCOOXII000070C,50.38254,5.84414
31,Deux-Acren TJ,,,
32,DOEL 1,22WDOELX1000076X,51.32481,4.25889
33,DOEL 2,22WDOELX2000077N,51.32481,4.25889
34,DOEL 3,22WDOELX3000078D,51.32481,4.25889
35,DOEL 4,22WDOELX40000793,51.32481,4.25889
36,DROGENBOS DM 51,,50.80244,4.30072
37,DROGENBOS DM 52,,50.80244,4.30072
38,DROGENBOS GT0,,50.80244,4.30072
39,DROGENBOS TGV,22WDROGEN0000863,50.80244,4.30072
40,Evonik Degussa GT2,,,
41,Evonik Degussa ST,,,
42,Fluxys LNG Zeebrugge WKK,,,
43,HEID-DE-GOREUX 1,,,
44,HEID-DE-GOREUX 2,,,
45,HERDERSBRUG STEG,22WHERDER0001288,51.26307,3.21121
46,Ineos Phenol Doel WKK,,,
47,IVBO,,,
48,IXELLES TJ,,,
49,La Vierre,,,
50,Lanxess Lillo WKK EBL,,,
51,Lillo Energy Degussa GT1,,,
52,Monsanto Lillo WKK,,,
53,Noordschote TJ,,,
54,RODENHUIZE 4,22WRODENH000213L,51.13421,3.77598
55,SAINT-GHISLAIN STEG,22WSAINT-000221B,50.47167,3.82521
56,Sappi Lanaken GT,,,
57,Schaerbeek Siomab ST1,,,
58,Schaerbeek Siomab ST2,,,
59,Schaerbeek Siomab ST3,,,
60,Scheldelaan Exxonmobil,22WSCHELD0002261,,
61,Stora Langerbrugge WKK1,,,
62,Stora Langerbrugge WKK2,,,
63,Syral Aalst GT,,,
64,Syral Aalst ST,,,
65,TIHANGE 1N,22WTIHANG000239G,50.53464,5.27121
66,TIHANGE 1S,22WTIHANG000240V,50.53464,5.27121
67,TIHANGE 2,22WTIHANG000241T,50.53464,5.27121
68,TIHANGE 3,22WTIHANG000242R,50.53464,5.27121
69,Turon TJ,,,
70,Wilmarsdonk Total GT1,,,
71,Wilmarsdonk Total GT2,,,
72,Wilmarsdonk Total GT3,,,
73,Wilrijk Isvag,,,
74,Zandvliet Power,22WZANDVL000255D,51.36977,4.26667
75,Zedelgem TJ,,,
76,Zeebrugge TJ,,,
77,Electrawinds biomassa Oostende,,,
78,Greenpower Oostende,,,
79,Marcinelle Energie TGV,22WMARCIN000179H,50.41396,4.40645
80,LANGERLO 1,22WLANGER0001694,50.93838,5.49434
81,LANGERLO 2,22WLANGER000171H,50.93838,5.49434
82,LANGERLO 3 REPOWERING,,50.93838,5.49434
83,LANGERLO 4 REPOWERING,,50.93838,5.49434
84,Euro-Silo WKK,,,
85,Incinerateur THUMAIDE (IPALLE),,,
86,Intradel Herstal,,,
87,Sofico Plate-Taille T,22WPLATEX000208N,,
88,Biostoom Oostende,,,
89,INESCO WKK,22WINESCO000149P,51.24256,4.32481
90,T-power Beringen,22WT-POWE000244W,,
