,name,eic_code,lat,lon
0,Chvaletice G1,27W-PU-ECHV----Y,50.02798,15.45409
1,Chvaletice G2,27W-PU-ECHV----Y,50.02798,15.45409
2,Chvaletice G3,27W-PU-ECHV----Y,50.02798,15.45409
3,Chvaletice G4,27W-PU-ECHV----Y,50.02798,15.45409
4,Dalešice G1,27W-PU-EDAL----O,49.12446,16.1242
5,Dalešice G2,27W-PU-EDAL----O,49.12446,16.1242
6,Dalešice G3,27W-PU-EDAL----O,49.12446,16.1242
7,Dalešice G4,27W-PU-EDAL----O,49.12446,16.1242
8,Dlouhé Strán? G1,27W-PU-EDST----Z,50.08542,17.17945
9,Dlouhé Strán? G2,27W-PU-EDST----Z,50.08542,17.17945
10,Dukovany B1,27W-PU-EDUK----1,49.08495,16.15006
11,Dukovany B2,27W-PU-EDUK----1,49.08495,16.15006
12,Dukovany B3,27W-PU-EDUK----1,49.08495,16.15006
13,Dukovany B4,27W-PU-EDUK----1,49.08495,16.15006
14,D?tmarovice G1,27W-PU-EDET----M,49.90543,18.466
15,D?tmarovice G2,27W-PU-EDET----M,49.90543,18.466
16,D?tmarovice G3,27W-PU-EDET----M,49.90543,18.466
17,D?tmarovice G4,27W-PU-EDET----M,49.90543,18.466
18,Kladno G4,,50.15367,14.12875
19,Kladno G5,,50.15367,14.12875
20,Kladno G7,,50.15367,14.12875
21,Ledvice G2,27W-PU-ELEX2---U,50.57681,13.78232
22,Ledvice G3,27W-PU-ELEX2---U,50.57681,13.78232
23,Ledvice G4,27W-PU-EPLE----4,50.57681,13.78232
24,Ledvice G6,27W-PU-ELED----H,50.57681,13.78232
25,M?lník 2 G10,27W-PU-EME2----1,50.41435,14.41523
26,M?lník 2 G9,27W-PU-EME2----1,50.41435,14.41523
27,M?lník 3 G11,27W-PU-EME3----W,50.41435,14.41523
28,PPC V?esová B1,,,
29,PPC V?esová B2,,,
30,Po?erady 2 nan,27W-PU-EPC2----S,50.42871,13.67603
31,Po?erady G2,27W-PU-EPC1----Y,50.42871,13.67603
32,Po?erady G3,27W-PU-EPC1----Y,50.42871,13.67603
33,Po?erady G4,27W-PU-EPC1----Y,50.42871,13.67603
34,Po?erady G5,27W-PU-EPC1----Y,50.42871,13.67603
35,Po?erady G6,27W-PU-EPC1----Y,50.42871,13.67603
36,Pruné?ov 1 G3,27W-PU-EPR1----3,50.41879,13.26039
37,Pruné?ov 1 G4,27W-PU-EPR1----3,50.41879,13.26039
38,Pruné?ov 1 G5,27W-PU-EPR1----3,50.41879,13.26039
39,Pruné?ov 1 G6,27W-PU-EPR1----3,50.41879,13.26039
40,Pruné?ov 2 G21,27W-PU-EPR2----Y,50.41879,13.26039
41,Pruné?ov 2 G22,27W-PU-EPR2----Y,50.41879,13.26039
42,Pruné?ov 2 G23,27W-PU-EPR2----Y,50.41879,13.26039
43,Pruné?ov 2 G24,27W-PU-EPR2----Y,50.41879,13.26039
44,Pruné?ov 2 G25,27W-PU-EPR2----Y,50.41879,13.26039
45,Temelín G1,27W-PU-ETEM----A,49.18109,14.38641
46,Temelín G2,27W-PU-ETEM----A,49.18109,14.38641
47,Tisová 2 G6,,50.15457,12.61445
48,Tušimice 2 G21,27W-PU-ETU2----I,50.3824,13.34085
49,Tušimice 2 G22,27W-PU-ETU2----I,50.3824,13.34085
50,Tušimice 2 G23,27W-PU-ETU2----I,50.3824,13.34085
51,Tušimice 2 G24,27W-PU-ETU2----I,50.3824,13.34085
