name,eic_code,lat,lon
Ahvenkoski,,,
Aittaluoto 1,,,
Aittaluoto 2,,,
Aittokoski,,,
Alakoski,,,
Alholma AK 1,,63.704653,22.705767
Alholma AK 2,44W-T-YT-000000S,63.704653,22.705767
Anjalankoski,,60.709216,26.819436
"Anjalankoski, G1",,,
Askala,,,
Atro,,,
Billnäs,,,
Björkfors,,,
Energia-Tietola,,,
Finlayson ve,,,
Haapakoski,,,
Haapaniemi,,62.879021,27.67349
Haapavesi,44W-K-LV-000000Q,64.121944,25.413056
Haapavesi,,64.121944,25.413056
Hamari,,,
Haminan höyrykattilalaitos,,,
Hanasaari B,44W-T-YT-000001Q,60.182557,24.969299
Hanhikoski,,,
Harabacka,,,
Harjavalta,,61.337963,22.114236
Harjavalta,,,
Hattarfors,,,
Heinola,,,
Heinola vp,,,
Hietamankoski,,,
Hilmonkoski,,,
Hinkismäki,,,
Hinkua,,,
Hirvikoski,,,
"Hoikankangas, Kajaanin sähkölaitos",,,
Honkalahti,,,
Hovinsaari,,60.471093,26.915272
Huutokoski kt,44W-T-KT-000002G,62.211993,27.673672
Hämeenkyrö lä,,,
Hämeenkyrö ve,,,
Hämeenlinna,,60.97516,24.505535
Iisalmi,,,
Ikaalinen,,,
Ilomantsin pellettitehdas,,,
Imatra,44W-T-VV-000003Y,61.166797,28.774695
Imatran Energia,,,
Inkeroinen ve,,,
Inkoo,,,
Isohaara,,65.792903,24.544698
Jalasjoki/Niiles,,,
Joensuu,,,
Joensuu,,62.593684,29.837414
Joutseno,,61.130618,28.45412
Joutseno,,,
Jouttikallio,,,
Juankoski,,,
Jumisko,,,
Juntola,,,
Juotas,,,
Juva,,,
Jylhämä,,64.572306,26.781238
Jämsänkoski bv,,,
Järvelän vaneritehdas,,,
Kaaranneskoski,,,
Kaarni,,,
Kaihua,,,
Kaipola,,,
Kaitfors,,,
Kalajärvi,,,
Kallioinen,,,
Kaltimo,,,
Kankaanpää,,,
Kantvik,,,
Karjalankoski,,,
Karvetti,,,
Kaskinen lv ja vp,,,
Katerma,,,
Kattilakoski,,,
Kaukopää,,61.249624,28.861259
Kauttua,,,
Kavo,,64.232717,27.687006
Kellosaari,,60.161893,24.908344
Keltti,,,
Kelukoski,,,
Kemi,,65.755324,24.523489
Kerava,,,
Kierikki,,,
Kiimassuo,,,
Killinkoski,,,
Kiltua,,,
Kirakkaköngäs,,,
