id,lat,lon
BNA0005,52.58950001,13.5586524
BNA0006,52.58950001,13.5586524
BNA0007,52.58950001,13.5586524
BNA0008,52.58950001,13.5586524
BNA0010a,47.58629,8.13207
BNA0010b,47.598482,8.170982
BNA0011,47.58931,8.13261
BNA0012a,51.984761,9.822831
BNA0012b,51.98513,9.82246
BNA0012c,51.98513,9.82246
BNA0012d,51.98513,9.82246
BNA0015,48.717611,9.374917
BNA0016,48.717611,9.374917
BNA0017,48.717611,9.374917
BNA0018,48.717611,9.374917
BNA0019,48.717611,9.374917
BNA0020,48.717611,9.374917
BNA0021,47.79714,10.85874
BNA0024,46.8142048,12.761757
BNA0025,53.85625,13.7101
BNA0027,52.72713,12.01115
BNA0033,48.40099,10.93576
BNA0042,48.3206154,13.3160755
BNA0045,47.5585312,7.9556579
BNA0046,47.565416,7.954035
BNA0051,51.983192,11.87656
BNA0055,52.07778,13.51725
BNA0059a,51.25883,9.43341
BNA0059b,51.25308,9.4379
BNA0062,52.18269,14.25841
BNA0065,48.750807,11.273237
BNA0066,51.63701,7.61876
BNA0067,51.63702,7.6191
BNA0068,52.42529,13.517308
BNA0073,52.51172353,13.4209156
BNA0074,52.52185624,13.31109524
BNA0075,52.42520804,13.30976486
BNA0076,52.42520804,13.30976486
BNA0080,52.42520804,13.30976486
BNA0081,52.48891639,13.49696159
BNA0082,52.532146,13.246072
BNA0083,52.48159366,13.30761909
BNA0084,52.532146,13.246072
BNA0085a,52.53735111,13.34611416
BNA0085b,52.53735111,13.34611416
BNA0086,52.53508792,13.24264526
BNA0087,52.53508792,13.24264526
BNA0088a,51.802609,11.751511
BNA0088b,51.801239,11.75441
BNA0090,53.252132,13.957019
BNA0093,49.363481,7.237136
BNA0097,52.04269,8.60719
BNA0098,52.033503,8.539061
BNA0099,51.98396,8.45139
BNA0100,52.033503,8.539061
BNA0101,52.033503,8.539061
BNA0103,51.48993,10.41307
BNA0105,51.633861,12.299357
BNA0106,51.490098,10.412883
BNA0108,51.83827,6.6219
BNA0110,51.48333333,7.216666667
BNA0111,51.50795,7.25029
BNA0115,51.182122,12.373287
BNA0116,51.182122,12.373287
BNA0117a,50.73382,7.08055
BNA0117b,50.73382,7.08055
BNA0118,50.73382,7.08055
BNA0121,51.85542,6.88867
BNA0122,51.41626317,14.56194878
BNA0123,51.41626317,14.56194878
BNA0124,51.41626317,14.56194878
BNA0129,51.512175,13.97109
BNA0130,52.394167,12.418056
BNA0135,52.278611,10.514722
BNA0136,52.278611,10.514722
BNA0137,52.278611,10.514722
BNA0138,52.278611,10.514722
BNA0139,53.12482,8.72887
BNA0140,53.06008,8.87328
BNA0141,53.12891,8.68524
BNA0142,53.12891,8.68524
BNA0143,53.12891,8.68524
BNA0144,53.06008,8.87328
BNA0145,53.12482,8.72887
BNA0146,53.124861,8.728657
BNA0147,53.20206653,8.516153926
BNA0156a,51.40667,8.60115
BNA0156b,51.40845951,8.599935409
BNA0157,53.851095,9.345944
BNA0161,53.89251924,9.201135635
BNA0162,53.89251924,9.201135635
BNA0163,53.89251924,9.201135635
BNA0164,53.89251924,9.201135635
BNA0169,49.515359,9.325151
BNA0172,48.18345,12.85311
BNA0173,48.1769,12.84045
BNA0174,48.17679,12.73056
BNA0176,51.92012,11.80181
BNA0177,50.856981,12.923096
BNA0178,50.856981,12.923096
BNA0179,50.856981,12.923096
BNA0183,51.76017,14.37004
BNA0187,51.62952,7.331174
BNA0188,51.62952,7.331174
BNA0189,51.62952,7.331174
BNA0191,51.50703,12.30048
BNA0192,51.51521,12.32479
BNA0194,51.82685,12.23003
BNA0196,51.11187,12.07617
BNA0199,51.07908,6.82871
BNA0202,51.51973,7.47697
BNA0203,51.56846926,7.349182511
BNA0207,51.042119,13.708597
BNA0211,51.429324,6.751984
BNA0212,51.429324,6.751984
BNA0213,51.390662,6.747783
BNA0214,51.390662,6.747783
BNA0215,51.528611,6.711944
BNA0216a,51.52672,6.71868
BNA0216b,51.52672,6.71868
BNA0217,51.459673,6.730574
BNA0218,51.459673,6.730574
BNA0219,51.459673,6.730574
BNA0220,51.22138,6.73131
BNA0221a,51.22116,6.73193
BNA0221b,51.22116,6.73193
BNA0221c,51.22138,6.73131
BNA0222,51.222794,6.813696
BNA0223a,51.22455,6.81543
BNA0223b,51.222794,6.813696
BNA0224,52.851545,13.77806
BNA0228,51.167139,9.046832
BNA0229,51.167139,9.046832
BNA0230,51.167139,9.046832
BNA0232a,48.26698,9.72615
BNA0232b,48.26693,9.72626
BNA0232c,48.26693,9.72626
BNA0233,51.46561,12.59204
BNA0237,52.16883,14.64079
BNA0238,52.16883,14.64079
BNA0238a,52.1674,14.62697
BNA0238b,52.1674,14.62697
BNA0239,53.18969,8.40869
BNA0242,51.46616,13.50464
BNA0243,49.984,10.65137
BNA0244,53.34217,7.20624
BNA0245a,53.34217,7.20624
BNA0245b,53.34217,7.20624
BNA0250,52.61971,6.87306
BNA0250a,52.619274,6.86931
BNA0250b,52.61913,6.872126
BNA0251,52.035641,9.413497
BNA0252,49.293248,6.770937
