name,eic_code,lat,lon
Jemeppe-sur-Sambre GT1,,50.44746,4.66339
Jemeppe-sur-Sambre GT2,,50.44746,4.66339
Jemeppe-sur-Sambre ST,,50.44746,4.66339
ANGLEUR TG 41,,50.61775,5.58267
ANGLEUR TG 42,,50.61775,5.58267
HAM31,,51.05942,3.73646
HAM32,,51.05942,3.73646
HAM-GENT WKK,,51.05942,3.73646
HU LIXHE,,50.75178,5.6878
RINGVAART STEG,22WRINGVA000209C,51.10496,3.72567
HU AMPSIN-NEUVILLE,,50.53381,5.29636
HU ANDENNE,,50.49179,5.06975
HU FLORIFFOUX,,50.44663,4.77389
HU GRAND-MALADES,,50.46595,4.89928
HU IVOZ-RAMET,,50.59349,5.46137
HU MONSIN,,50.65317,5.63137
Beveren 2 Indaver,,,
Beveren Sleco,,,
Taminco (Gent) WKK,,,
AALTER TJ,,,
Amercoeur 1 R TGV,22WAMERCO000010Y,50.43004,4.39518
Zelzate 2 Knippegroen,22WZELZAT0002618,51.15861,3.80746
Zelzate TJ,22WZELZAT0002618,51.15879,3.80815
Zwijndrecht Lanxess GT,,,
Zwijndrecht Lanxess ST,,,
AWIRS 4,,50.58508,5.41886
BEERSE TJ,,,
BUTGENBACH,,,
CIERREUX TJ,,,
COO I T,22WCOOXIX000067T,50.38254,5.84414
COO II T,22WCOOXII000070C,50.38254,5.84414
Deux-Acren TJ,,,
DOEL 1,22WDOELX1000076X,51.32481,4.25889
DOEL 2,22WDOELX2000077N,51.32481,4.25889
DOEL 3,22WDOELX3000078D,51.32481,4.25889
DOEL 4,22WDOELX40000793,51.32481,4.25889
DROGENBOS DM 51,,50.80244,4.30072
DROGENBOS DM 52,,50.80244,4.30072
DROGENBOS GT0,,50.80244,4.30072
DROGENBOS TGV,22WDROGEN0000863,50.80244,4.30072
Lillo Degussa GT2,,,
Lillo Degussa ST,,,
Zeebrugge 2 Fluxys,,,
HEID-DE-GOREUX 1,,,
HEID-DE-GOREUX 2,,,
HERDERSBRUG STEG,22WHERDER0001288,51.26307,3.21121
Beveren Ineos Phenolchemie,,,
IVBO,,,
IXELLES TJ,,,
La Vierre,,,
Oorderen Bayer,,,
Lillo Degussa GT1,,,
Oud-Lillo Monsanto,,,
Noordschote TJ,,,
RODENHUIZE 4,22WRODENH000213L,51.13421,3.77598
SAINT-GHISLAIN STEG,22WSAINT-000221B,50.47167,3.82521
Lanaken Sappi,,,
Schaerbeek Siomab ST1,,,
Schaerbeek Siomab ST2,,,
Schaerbeek Siomab ST3,,,
Scheldelaan Exxonmobil,22WSCHELD0002261,,
LANGERBRUGGE STORA ST 1,,,
LANGERBRUGGE STORA ST 2,,,
Aalst Syral GT,,,
Aalst Syral ST,,,
TIHANGE 1N,22WTIHANG000239G,50.53464,5.27121
TIHANGE 1S,22WTIHANG000240V,50.53464,5.27121
TIHANGE 2,22WTIHANG000241T,50.53464,5.27121
TIHANGE 3,22WTIHANG000242R,50.53464,5.27121
Turon TJ,,,
Wilmarsdonk Total GT1,,,
Wilmarsdonk Total GT2,,,
Wilmarsdonk Total GT3,,,
Wilrijk Isvag,,,
Zandvliet Power,22WZANDVL000255D,51.36977,4.26667
Zedelgem TJ,,,
Zeebrugge TJ,,,
Electrawinds biomassa Oostende,,,
Greenpower Oostende,,,
Marcinelle Energie (Carsid),22WMARCIN000179H,50.41396,4.40645
LANGERLO 1,22WLANGER0001694,50.93838,5.49434
LANGERLO 2,22WLANGER000171H,50.93838,5.49434
LANGERLO 3 REPOWERING,,50.93838,5.49434
LANGERLO 4 REPOWERING,,50.93838,5.49434
Eurosilo,,,
Incinerateur THUMAIDE (IPALLE),,,
Intradel Herstal,,,
PLATE-TAILLE T,22WPLATEX000208N,,
Biostoom Oostende,,,
INESCO WKK,22WINESCO000149P,51.24256,4.32481
T-power Beringen,22WT-POWE000244W,,
