name,eic_code,lat,lon
1er Palier Isérables c. Arcay,,46.1609354297,7.24886403999
Aarau Stadt,,47.3947817334,8.03587458337
Aarberg,,47.0378523989,7.27192721071
Aarburg,,47.3191178376,7.90315413711
AAREwerk 62 Thun,,46.7616886927,7.61338717639
AAREwerk 94 Thun,,46.7616779127,7.62032482826
Aboyeu,,46.1819570581,7.03393846048
Ackersand 1,,46.239778934,7.87489823485
Ackersand 2,,46.240231203,7.87425362084
Aegina,,46.4681741373,8.36952330442
Albbruck-Dogern,,47.58581763,8.13293948536
Albbruck-Dogern,,47.5977213923,8.17165593034
Albignawerk Löbbia,,46.3749522123,9.65890088302
Albignawerk Löbbia,,46.3749522123,9.65890088302
Albignawerk Löbbia,,46.3690603354,9.67478057273
Aletsch,,46.3539748841,8.04276023491
Am Löntsch,,47.0566384819,9.04911463355
Am. de dotation d'Hauterive 2,,46.7179036853,7.1124380045
Am. de dotation du Châtelot,,47.1014437602,6.74440337669
Am. de dotation du Kembs 1,,47.6194755433,7.57030818507
Am.de dotation d'Hauterive 1,,46.7179036853,7.1124380045
Am.de dotation d'Oelberg,,46.7987340488,7.16591494327
Amsteg,,46.7667596543,8.67292336359
Amsteg,,46.7750725678,8.66957811216
Amsteg,,46.7151423238,8.61105066077
Arbaz I (Comba Energies),,46.2682177813,7.37884786057
Arbaz II (Sionne Energie),,46.2464389011,7.36318337545
Ardon,,46.2167209401,7.25657347569
Arniberg,,46.7689944794,8.66590412922
Arosa-Litzirüti,,46.8000493529,9.70591198066
Äsch,,46.8652358009,8.81028683203
Aue,,47.4703876782,8.31091055866
Aue-Dotierzentrale,,47.4685180209,8.30835960616
Augst,,47.5367624123,7.70968848078
Au-Schönenberg,,47.5239809806,9.18679102533
Bäch,,47.2003433021,8.72530004013
BAG Turgi,,47.4981499556,8.24049276547
Balavaud,,46.2209490674,7.2566888557
Baltschieder,,46.3075293023,7.87167668529
Bannalp,,46.8803037351,8.42125996207
Bannwald,,46.8868282361,8.64234852845
Bannwil,,47.2293726093,7.73229827172
Bärenburg,12W-0000000016-H,46.5901915365,9.42142722621
Bärenburg Dotieranlage,12W-0000000016-H,46.5901915365,9.42142722621
Bargaus,,46.7931455833,9.27364512391
Bassecourt,,47.331015929,7.23197724871
Bätterkinden,,47.1330038883,7.54407602098
Bavona,12W-0000000925-8,46.4103537646,8.53761284541
Bellerive,,47.3828021223,7.35916951758
Berner Green Power GmbH,,46.6669162637,7.46411851171
Beulet,,46.2682325663,7.42100406459
Bevieux,,46.2603811856,7.02881412738
Beznau,,47.557805126,8.23714123041
Beznau,,47.550050977,8.22679525193
Biasca,12W-0000000026-D,46.3349885216,8.98264959939
Biberist,,47.1835291625,7.56911004647
Birsfelden,,47.5598609367,7.62636460556
Bischofszell,,47.4930279409,9.23422119529
Bisisthal,,46.9466216843,8.82799774611
Bitsch,12W-0000000105-J,46.3336461722,8.0075990397
Blanches-Fontaines Undervelier,,47.2948384497,7.22127698932
Blatten,,46.4229430636,7.82212420241
Blatten (SAK),,47.307700421,9.56728348718
Blinne,,46.4652885047,8.25334304008
Blumenstein,,46.727704518,7.51333335379
Bocki 1,,46.8409637891,8.63214556041
Bocki 2,,46.8409637891,8.63214556041
Bondo,,46.3339963909,9.55121328995
Bortel-Mittelstufe,,46.297742733,8.06082520919
Bortel-Oberstufe,,46.2934511663,8.08815887117
Boudry (les Essert),,46.9508768262,6.84290644242
Bözingen,,47.1545087131,7.26655078925
Bremgarten-Zufikon,,47.3436544275,8.34562802508
Brigels-Tavanasa,,46.7580621697,9.07174622905
Broc,,46.6098576224,7.10930675272
Brügg,,47.1191458966,7.2580998136
Bruggmühle,,47.3497309812,8.33924607379
"Brummbach, Braunwald",,46.9386081948,8.98305061474
"Brummbach, Linthal",,46.9276405378,9.00230354147
Buchs-Altendorf,,47.1569967916,9.46710077053
Buchs-Tobeläckerli,,47.1562316902,9.46456548914
Buchs-Vorderberg,,47.1490022349,9.44582705102
Buoholzbach Wolfenschiessen,,46.9270904029,8.3991353836
Burentobel,,47.4191628646,9.34135118586
Burglauenen-Lütschental,,46.6373283443,7.95450426806
Bürglen (Loreto),,46.8765292426,8.6633716678
Bürglen (Säge),,47.547257475,9.15221424841
Bürglen (Unterschächen),,46.8765292426,8.6633716678
Büttenen 1,,47.4428086273,7.59347246718
Büttenen 2,,47.4428086273,7.59347246718
Calancasca,,46.2392079506,9.11854962054
Calcaccia,,46.5194921171,8.6345754932
Campo Vallemaggia,,46.2853101718,8.5086146267
Campocologno 1,,46.2321878892,10.1436946334
