name,eic_code,lat,lon
Chvaletice G1,27W-PU-ECHV----Y,50.02798,15.45409
Chvaletice G2,27W-PU-ECHV----Y,50.02798,15.45409
Chvaletice G3,27W-PU-ECHV----Y,50.02798,15.45409
Chvaletice G4,27W-PU-ECHV----Y,50.02798,15.45409
Dalešice G1,27W-PU-EDAL----O,49.12446,16.1242
Dalešice G2,27W-PU-EDAL----O,49.12446,16.1242
Dalešice G3,27W-PU-EDAL----O,49.12446,16.1242
Dalešice G4,27W-PU-EDAL----O,49.12446,16.1242
Dlouhé Stráně G1,27W-PU-EDST----Z,50.08542,17.17945
Dlouhé Stráně G2,27W-PU-EDST----Z,50.08542,17.17945
Dukovany B1,27W-PU-EDUK----1,49.08495,16.15006
Dukovany B2,27W-PU-EDUK----1,49.08495,16.15006
Dukovany B3,27W-PU-EDUK----1,49.08495,16.15006
Dukovany B4,27W-PU-EDUK----1,49.08495,16.15006
Dětmarovice G1,27W-PU-EDET----M,49.90543,18.466
Dětmarovice G2,27W-PU-EDET----M,49.90543,18.466
Dětmarovice G3,27W-PU-EDET----M,49.90543,18.466
Dětmarovice G4,27W-PU-EDET----M,49.90543,18.466
Kladno G4,,50.15367,14.12875
Kladno G5,,50.15367,14.12875
Kladno G7,,50.15367,14.12875
Ledvice G2,27W-PU-ELEX2---U,50.57681,13.78232
Ledvice G3,27W-PU-ELEX2---U,50.57681,13.78232
Ledvice G4,27W-PU-EPLE----4,50.57681,13.78232
Ledvice G6,27W-PU-ELED----H,50.57681,13.78232
Mělník 2 G10,27W-PU-EME2----1,50.41435,14.41523
Mělník 2 G9,27W-PU-EME2----1,50.41435,14.41523
Mělník 3 G11,27W-PU-EME3----W,50.41435,14.41523
PPC Vřesová B1,,,
PPC Vřesová B2,,,
Počerady 2 nan,27W-PU-EPC2----S,50.42871,13.67603
Počerady G2,27W-PU-EPC1----Y,50.42871,13.67603
Počerady G3,27W-PU-EPC1----Y,50.42871,13.67603
Počerady G4,27W-PU-EPC1----Y,50.42871,13.67603
Počerady G5,27W-PU-EPC1----Y,50.42871,13.67603
Počerady G6,27W-PU-EPC1----Y,50.42871,13.67603
Prunéřov 1 G3,27W-PU-EPR1----3,50.41879,13.26039
Prunéřov 1 G4,27W-PU-EPR1----3,50.41879,13.26039
Prunéřov 1 G5,27W-PU-EPR1----3,50.41879,13.26039
Prunéřov 1 G6,27W-PU-EPR1----3,50.41879,13.26039
Prunéřov 2 G21,27W-PU-EPR2----Y,50.41879,13.26039
Prunéřov 2 G22,27W-PU-EPR2----Y,50.41879,13.26039
Prunéřov 2 G23,27W-PU-EPR2----Y,50.41879,13.26039
Prunéřov 2 G24,27W-PU-EPR2----Y,50.41879,13.26039
Prunéřov 2 G25,27W-PU-EPR2----Y,50.41879,13.26039
Temelín G1,27W-PU-ETEM----A,49.18109,14.38641
Temelín G2,27W-PU-ETEM----A,49.18109,14.38641
Tisová 2 G6,,50.15457,12.61445
Tušimice 2 G21,27W-PU-ETU2----I,50.3824,13.34085
Tušimice 2 G22,27W-PU-ETU2----I,50.3824,13.34085
Tušimice 2 G23,27W-PU-ETU2----I,50.3824,13.34085
Tušimice 2 G24,27W-PU-ETU2----I,50.3824,13.34085
