name,eic_code,lat,lon
VAQUEROS,,,
MARINER,,,
LANCIEGO,,,
OSOR,,,
DIECHAR,,,
PAPELERA FIDEL,,,
NAVAS-SAN MATEU,,,
FONT DEL RIU,,,
COLORTEX,,,
CERAMICAS ALONSO,,,
CAL ESCOLA,,,
CERAMICAS DEL MINO,,,
BORGONYA,,,
CAN RAMISA,,,
SANTA MATILDE,,,
MORLA,,,
ELS CONDALS,,,
COGEMANSA,,,
ESMALGLASS,,,
PLANTA DE COGENERACION DE QUEIZUAR,,,
LUBIAN,,,
CERAMICA BARRASA,,,
COGENERACION FRANCISCO VENTO,,,
TRATAMIENTO DE PURINES OSA DE LA VEGA,,,
EIE,,,
ENRIQUE RAMON BORJA,,,
CERAMICA JEREZ,,,
EMBUTIDOS PALACIOS,,,
TRATAMIENTO DE PURINES VILVIESTRE DEL PINAR,,,
NARANSUR,,,
HOSPITAL DE GALDAKAO,,,
MOLINO DE ANDRES,,,
NALON ENERGIA - CENTRO SAMA,,,
RASACAL COGENERACION,,,
MARCIAL GONZALEZ,,,
COGENERACION JUMSAL,,,
FINCA LA ESPERANZA - MULA,,,
PAPELERA ECKER,,,
PLANTA TRATAMIENTO PURINES EN CASPE,,,
PIRACES,,,
MOLI DE PALS,,,
TUNO III,,,
CONSTRUCCIONES SAN MARTIN,,,
HOSPITAL UNIVERSITARIO LA FE,,,
CERAMICAS SEGOVIA,,,
MESOGEN,,,
INDUSTRIAS DUERO,,,
SALT DEL MOLINOT,,,
LA FUENTE DEL TIO HERRERO,,,
MADERAS RANA,,,
MINTXATE,,,
LORCA-II,,,
COGENERACION CAMPUS UNIVERSITARIO DE TOLEDO,,,
"COGENERACION MARTIARTU, AIE",,,
TARRIO,,,
CERAMICA MANRESANA,,,
SAN RAFAEL DE NAVALLANA,,,
CIMENTS MARTIN (SANT JOAN DE LES ABADESSES),,,
ANOIA,,,
GRANCASA,,,
BANOS,,,
CAN BROQUETAS,,,
RENFE - ESTACION PUERTA DE ATOCHA,,,
CANTERAS DE JUN,,,
HERRERIAS,,,
BUJALARO,,,
GADEA HERMANOS,,,
"EQUIPAMIENTOS SANITARIOS DE VALENCIA, S.L.",,,
SAN VICENTE,,,
ARTABRA (AMPLIADA POTENCIA 28/3/03),,,
LA LLUM,,,
TERSA,,,
TERSA,,,
CERAMICA RIOBOO,,,
TERREAL,,,
PRESA FORCADA,,,
EL MOLI,,,
CASCO DECOR,,,
ROSSELLO,,,
EL MOLI,,,
DICRE,,,
PRADILLO,,,
CLARIANACAL,,,
FOXO,,,
BARRENA BERRI,,,
HARTMAN,,,
GEQUISA,,,
SAN JOSE,,,
SAN ANTONIO,,,
LA SEDA,,,
BARRIOS DE LUNA,,,
TALAVE,,,
PORTABELLA,,,
LA CUESTA,,,
CRISTALERIA ESPANOLA,,,
INICIATIVES PANTOMI,,,
C.H.MANUFACTURES,,,
CELLOPHANE,,,
OQUILLEGUI,,,
RIO FRANCIA,,,
AIZPURUTXO,,,
MOLINO DEL BARRIO PUENTE DE BERGUENDA,,,
LA POLA DE GORDON,,,
VINALTA,,,
NIGUELAS,,,
SALTO DEL PUENTE DE LA CERRADA,,,
MELIDA,,,
CIPSA,,,
LA GAFA,,,
CAN TARRES,,,
AREMUSA II,,,
AREMUSA V,,,
MUSA XI,,,
AREMUSA VII,,,
ALITRASA VIII,,,
ALITRASA VI,,,
PLANTA DE TRATAMIENTO DE PURINES,,,
LIMIA,,,
SAN VICENTE LEIRA,,,
SAN VICENTE LEIRA,,,
MONASTERIO,,,
LA ESPERANZA-UEF,,,
C.H. DEL UMIA,,,
SARRIA III,,,
C. H. MOLINO DE GUASO,,,
MOTOR BIOGAS DEPOSITO RSU SALAMANCA,,,
C.H. AITONA.,,,
NYLSTAR,,,
ALABE CARTOTECNIA,,,
BARBANTINO,,,
A.I.E. FABRICANTES DE QUESOS,,,
ENERSER,,,
TRATAMIENTO DE PURINES TRES JUNCOS,,,
LOS TORILES,,,
CERAMICA CUATRO PALOMAS,,,
CENTRAL HIDRAULICA DOMENO,,,
INDULLEIDA,,,
INDULLEIDA,,,
FORESTAL DEL ATLANTICO,,,
SALT-1,,,
GENSABON,,,
HOSPITAL COMARCAL NUESTRA SENORA DE LA ANTIGUA,,,
CERAMICAS RIO ALHAMA,,,
LA HIGUERILLA,,,
PAPELERA DE PERALES,,,
CELYTEX,,,
MOLI D OGERN,,,
ACABADOS BANERES,,,
"LORCA ENERCORR XXI, S.L.",,,
UNION FENOSA,,,
PLANTA DE COGENERACION INDUSTRIAS LOSAN,,,
ALGUAIRE - CENTRAL 1,,,
RAIMAT,,,
RIO UCERO,,,
RAIMAT - CENTRAL 6,,,
COGENERACION SAN CIPRIAN,,,
CEPEDA,,,
BOLSAS Y FORMATOS,,,
LA SARRA,,,
ALCANADRE I,,,
ANDIA LACTEOS,,,
SALICA,,,
VICARIAS,,,
"TAULELL-P. PORC. N4 (AMPL. 5048 KW 3/02/06, RD436",,,
VALENCIA DE DON JUAN,,,
COMPANIA EUROPEA GENERAL TEXTIL,,,
ATRENESTE,,,
ONDUSPAN,,,
INCOAZUL,,,
"ARGUI LORE, S.L. (GUASCOR ENDANEA)",,,
PRADENA,,,
PRODUCTORA GUADALFEO,,,
FORRAJES Y  PROTEINAS,,,
CENTRAL DE GENERACION ELECTRICA DEL D.C. DE NAJERA,,,
CENTRAL DE GENERACION ELECTRICA DEL D.C. DE NAJERA,,,
PLANTA COGENERACION TRATAM. PURINES,,,
REHABILITACION C. H. PITARQUE,,,
C.H. DE TORREONES DEL MUNDO,,,
CANTERAS DE JUN,,,
IBERPURIN,,,
ACEITERA GUADALQUIVIR,,,
C.H. HARINAS Y DERIVADOS IBARRONDO,,,
COGENERACION AZCUE Y CIA,,,
INGAROIL,,,
HIDROELECTRICA DE BERBERIN,,,
HINOJAR II,,,
ECOENERGIA INTEGRAL,,,
SAN VICENTE,,,
COGENERACION ALABE COLSA,,,
COGENERACION Y TRATAMIENTOS ECIJA,,,
GARENESA,,,
CENTRAL DE CAN NALERT,,,
CENTRAL DE OLABARRIA,,,
MICHELIN ARANDA,,41.664695,-3.710235
MICHELIN ARANDA,,41.664695,-3.710235
OLALDEA II,,,
GOIZUETA,,,
VIANA II,,,
URTASUN,,,
HIJOS DE MARTINEZ,,,
BOINERSA,,,
TORRELAGUNA,,,
CASTILLONROY,,,
PAPELERA DE LA ALQUERIA,,,
PUENTEDURA,,,
PUENTEDURA,,,
PLANTA DDP CASTILEON,,,
C.H. LOS MANUELES,,,
AVICU MATADERO Y AMPLIACION,,,
AVICU MATADERO Y AMPLIACION,,,
"HOCERSA HOMS CERAMICA, S.A.",,,
CH ANLLO,,,
LARBESA,,,
LA SOTONERA,,,
ALFAGES,,,
NUREL 1,,,
VENTANIELLA,,,
BOO DE GUARNIZO,,,
NOVO Y SIERRA 1 Y 2 FASE,,,
FEIXA II,,,
FEIXA II,,,
AZULIBER,,,
COLONIA VIDAL,,,
CERAMICA PIEROLA,,,
PONS,,,
COG. CERAMICA DA MOURA,,,
PLANTA DE COGENERACION,,,
"PAPELERA GUIPUZCOANA DE ZICUNAGA, S.A.",,43.257263,-1.967881
TRITURADOS PUERTO BLANCO,,,
C.H. DE LA VEGA,,,
C. H. TAMBRE-CABALAR,,,
"COMERCIAL MIRASIERRA, SA",,,
C. H. HOJAMARTA,,,
CENTRAL HIDRAULICA GUADALIMAR,,,
C.H. MAZONOVO,,,
"SERVIKER 1, S.L.",,,
MINIHIDRAULICA 90 KW EL RINCON REHABI. DALTOS DE C,,,
LABORATORIS GRIFOLS,,,
HIDROELECTRICA DEL CAUXA,,,
MURIEDAS,,,
CH 3 MW VILLA DE LOS ANGELES,,,
C.H. SALTO DEL GOMIL,,,
ACEITES DEL SUR-COOSUR S.A.,,,
CH BOADES,,,
CH LA POBLA DE SEGUR,,,
CH LA POBLA DE SEGUR,,,
CENTRAL HIROELECTRICA DE PARTIDOR,,,
AURTIZ,,,
AURTIZ,,,
SALTO DEL OLVIDO,,,
LINGEGAS,,,
ESPUNY-MORON,,,
ESPUNY-MORON,,,
C.H. LA CHOMBA DEL PLAGANO,,,
COGENERACION NAVIA,,,
PENA AGUILA,,,
FABRICA DE YESO EN GELSA,,,
TORELLO,,,
MATALLANA,,,
OLLONIEGO,,,
SAVA-MIRALCAMP,,,
CERAMICA TARBE,,,
FABRICA VELLA,,,
INAMA,,,
OREMBER,,,
AZUCARERA DEL GUADALCACIN,,,
SALT 2,,,
REQUEIXO,,,
MIUDINA,,,
LA MINILLA,,,
SUROS Y MOLI,,,
TORTOSA ENERGIA,,,
TORTOSA ENERGIA,,,
TORTOSA ENERGIA,,,
LAS QUEBRADAS,,,
CH LA CASETA,,,
HILATURAS MIEL,,,
CERAMICA ZAMORA,,,
ACUARIO ESPAI DE SALUT,,,
ALIER,,,
"REAL CERAMICA, S.A.U",,,
COGENERACION SERPIS,,,
PRODUCTOS ULLA,,,
CERANOR,,,
HIJOS FRANCISCO GAYA FORES (FABRICA II),,,
SANT VICENC DELS HORTS,,,
LUMBIER,,,
GONZALEZ CARRENO II,,,
FERNANDO CORRAL E HIJOS,,,
CERAMICA SAZA,,,
C. H. CORZAN,,,
LA AURORA,,,
ALMIBERIA,,,
RIO XANCEDA,,,
LIPIDOS SANTIGA,,,
PLANTA DE LALCORA,,,
PLANTA DE MORELLA,,,
COGENERACION MARINA DOR,,,
IBERFRUTA,,,
TRATAMIENTO DE PURINES EN ASTORGA,,,
TRATAMIENTO DE PURINES EN VILLANUEVA DE ARGANO,,,
PAPELERAS DEL ARLANZON,,,
CERAMICA DE PINA II,,,
ALVARO ESPUNY,,,
COOPERATIVA DE VIVIENDAS JOVENES DE ORCASITAS,,,
"COVISLAN, S.L.",,,
LORCA-1,,,
PLANTA DE COGENERACION DAPSA,,,
HELIOS,,,
BADENES COGENERACION,,,
NIVELUR (AMPLIACION 809 KW 30-6-2005),,,
NIVELUR (AMPLIACION 809 KW 30-6-2005),,,
TEXTIL SANTANDERINA,,,
ATHENEA,,,
"SAMPOL INGENIERIA Y OBRAS, S.A.",,,
EL RETALLO,,,
TORROLLON,,,
BECOSA CABRA,,,
"IBERIA, LINEAS AEREAS DE ESPANA",,,
PROCESA,,,
FACTORIA DE GUARENA,,,
HILATURAS BEJAR,,,
COGENERACION COGAL,,,
PLANTA DEPURACION AGUAS RESIDUALES,,,
SANTOMERA,,,
PLANTA PURINES HINOJAR,,,
CERAMICA ALCALAINA,,,
VILAFRUNS,,,
ESCLUSA 14,,,
"CARTONAJES LA PLANA, S.L.",,,
BENFERRI,,,
POSADAS,,,
LARDERO,,,
COG. MADERAS ORNANDA,,,
PLASTICOS ENERGIA,,,
EL PISON,,,
GALLETAS GULLON FABRICA 1,,,
CENTRAL HIDROELECTRICA DE HUESNA,,,
MUGAIRE,,,
SALTO ETXALAR,,,
POMPEYO CRIADO,,,
CERAMICAS ALONSO,,,
GUIXERS (POT. LIMITADA A 620 KW),,,
COGENERACION HERMANOS DIAZ REDONDO,,,
NYLSTAR,,,
C.H. EL BORRAS,,,
BELFINTEX,,,
GUIMERA,,,
GUISSONA-LERIDA,,,
CAN BORRAS,,,
LA PLANA,,,
SANT JAUME DE LLIERCA,,,
KAO CO(NUEVA FECHA INSCRIP. POR MODIF. SUSTANCIAL),,,
CH CAL GAT,,,
LA PUDA,,,
CERAMICA VIVES,,,
ELKORRI,,,
MOLINO DE AUSIN,,,
NOFUENTES,,,
TRANCO DEL DIABLO,,,
ARROYO LOS POZOS,,,
PERERUELA,,,
GOMEZ RODULFO,,,
BAZKARDO,,,
COLONIA FABREGAS,,,
EL COLLET,,,
POBLA DE LILLET,,,
BRANDIA,,,
LADRILLERIA ROSO,,,
CERAMICA DE CHILOECHES,,,
CERAMICA DE CHILOECHES,,,
CERAMICA DE LA ESTANCA,,,
CERAMICA DE LA ESTANCA,,,
CERAMICA DE LA ESTANCA,,,
C´ANTIUS,,,
LA RECORBA,,,
PAPELERA DEL ORIA,,,
GUEYU DE ZARAMBRAL,,,
C.H. BADIOLEGUI,,,
VIRGEN DE LAS VINAS,,,
S.A. LA CERAMICA,,,
COGENERACION LA RABIDA (DETISA),,37.184143,-6.899786
CERAMICA FUSTE,,,
VILLAR DEL REY,,,
EL PONT VELL,,,
SALES DE MONZON,,,
PLANTA TRATAM. PURINES DE FORADADA,,,
ELYO SANT JOAN,,,
PLANTA DE PURINES AGRUPACIO RAMADERS NOGUERA,,,
PLANTA TRATAMIENTO PURINES ALFARP,,,
"CIUDAD DE LAS ARTES Y LAS CIENCIAS, S.A.",,,
NOGALES,,,
MUSA VII,,,
MUSA VIII,,,
MUTRASA VI,,,
MUTRASA VII,,,
COGENERACION,,,
LOGRONO,,,
LA MELLA,,,
SASTAGO-II,,,
DONA JIMENA,,,
C.H. HUERTA BAJA 75 KW,,,
EMASA EDAR GUADALHORCE,,,
CG NUFRI-2,,,
CG NUFRI-2,,,
ELABORADORA DE CEFALOPODOS,,,
NUTRIMENTOS DEL CAMPO,,,
TRATAMIENTO DE PURINES DE GALVEZ,,,
TRATAMIENTO DE PURINES DE LA PUEBLANUEVA,,,
MATADERO COMARCAL DEL DEZA,,,
"AZULEJERA TECNICA, S.A.",,,
COGENERACION ASTANO,,,
"PANRICO, S.L (ANTES DONUTS GALICIA)",,,
COGENERACION ADZANETA,,,
SALTO DE LAS CANAS,,,
ANOETA,,,
ACEQUIA DE CINCO VILLAS,,,
LAS BARRERAS,,,
ANTIC MOLI JUVINYA,,,
C.H VALL DE NURIA,,,
MATEOS,,,
CERAMICA GARCIA CUESTA,,,
HISPANIA CERAMICA,,,
C.H. DE SANTABAIA,,,
"C.H. HOYA GARCIA (AMPLI. 775 KW, EL 12-11-05)",,,
TORRASPAPEL-MONTANANESA,,,
"CENTRAL DE COGENERACION EN INDASA, PARA DESHIDRATADO DE ALFALFAS Y OTROS PRODUCTOS VEGETALES",,,
ALCARRAS - CENTRAL 12,,,
CENTRAL 13,,,
QUENTAR,,,
ANTELLA-ESCALONA,,,
COGENERACION VILLARICOS,,,
LA REQUIJADA,,,
GRANJA EGUILUZE,,,
KRASLAN,,,
JOSE PINEIRO GONZALEZ E HIJOS,,,
VILLALGORDO,,,
CERAMICAS JORNETS,,,
PAPELERA DE SILLA,,,
SIERRA SUR ENERGIA S.A.,,,
PROCESOS ECOLOGICOS CARMONA 3,,,
TRAINALBA,,,
SAN ESTEBAN DE GORMAZ,,,
POVISA,,,
CABO,,,
POLIDEPORTIVO VALDELASFUENTES,,,
"TECNICAS DE COGENERACION DE QUART, S.L.",,,
COGENERACION VIRIATO,,,
REAL Y SANTA CASA DE MISERICORDIA,,,
EMBALSE DEL JERTE,,,
PLANTA COGENERACION ENERGIA IDM,,,
C.H. PALOMAREJO,,,
INDUSTRIAS SAN ANDRES,,,
SANGUESA,,,
EUGUI,,,
ENNOTEX,,,
PINILLA,,,
CENTRAL DE VALTEINA,,,
SARDON ALTO,,,
C.H. DE SALTO DE LAGOA,,,
"PLANTA DE SOJA DE BUNGE IBERICA, S.A.",,,
LA SALVADORA,,,
"GREENPORT SOLUTIONS, S.L.",,,
CASTROQUILAME,,,
ALCOLEA DE CORDOBA,,,
COGENERACION MADERAS GARNICA,,,
C.H. MOLINO DE NIEVA,,,
"SERVICIOS DE COGENERACION, S.L.",,,
CARMONA COGENERACION,,,
C.H. FERRERAS,,,
C.H. LA TORRE,,,
DIBAQ-DIPROTEG,,,
C. COG. E.D.A.R. VILLAPEREZ,,,
CERAMICAS HIJOS DE F.MORATAL AMPLIACION DE RE-97D-395,,,
ARIESTOLAS,,,
EL CIEGO,,,
BARASONA (S.JOSE),,,
ARIAS I,,,
BARBAO,,,
PARANA,,,
FERRERIAS,,,
FERVENZA,,,
ITALCOGENERACION,,,
AZUVI,,,
VENIS,,,
INZOA,,,
CENTRAL HIDR. EL PERALEJO,,,
MUSA I,,,
MUSA III,,,
NEUMATICOS MICHELIN-VITORIA,,42.866419,-2.670162
PLANTA BIOMASA NUINTESA,,,
HIDROELECTRICA SAN LAZARO,,,
C.H. RIALB 1,,,
"CORA COGENERACION, S.L.",,,
CENTRAL DE COGENERACION NPC II,,,
C.H. SALTO DE ERMIDA,,,
LOS MOLINOS DEL SOTO,,,
BIOGAS REIG PASTOR,,,
PERANCHO,,,
BIOGAS Y ENERGIA,,,
BETOLEGUI,,,
IRATI,,,
TRATAMIENTO DE PURINES,,,
CH AMETLLA DE MEROLA,,,
CH BAGA,,,
CH DAIO,,,
CH FRESER,,,
VILLAMECA,,,
GRES DE NAVA,,,
AMYLUM IBERICA,,,
COGENERACION MIGASA-LA RODA,,,
CERAMICA DE CABEZON,,,
APROV. HIDROELECTRICO DEL RIO XIESTA,,,
FRINOVA,,,
GUIXARO,,,
HIDROELECTRICA PEDRAFORCA,,,
C.H. SOLAN DE CABRAS,,,
BESCANO,,,
ESPINOSA DE HENARES,,,
LODOSA,,,
CASAS,,,
RIBESALBES,,,
MORENTIN,,,
BESCANO,,,
CASTADON,,,
PONTE INFERNO,,,
"ERCROS INDUSTRIAL, SA",,,
CAN GALOBART,,,
CAN BENET,,,
MASEIRINOS,,,
MACEIRA I,,,
MAITENA,,,
LAVADERO SAN BERNARDO,,,
LA FARGA,,,
LA ESCALA,,,
LA COLLADA,,,
COGENERACION VECONSA,,,
CA L AFOU,,,
SATRUSTEGUI,,,
COOPERATIVA AGRICOLA SAN BLAS S.COOP.,,,
TRATAMIENTO DE PURINES GERINDOTE,,,
INDUSTRIALES PANADEROS ASOCIADOS,,,
LA CUARTA,,,
ROCASSES,,,
AGUILAREJO,,,
CERAMOSA,,,
ELCIEGO,,,
BOCANA DEL CASAR,,,
VINICOLA DEL OESTE,,,
NUEVA CERAMICA MODERNA,,,
COMPLEJO CARNICO PICOS DE EUROPA,,,
OLEOENERGIA JIMENA II,,,
AVICU PIENSOS,,,
ERCA CINCO VILLAS-1,,,
TRATAMIENTO DE PURINES DE MIRA,,,
BURON,,,
IBERIA LINEAS AEREAS DE ESPANA,,,
QUESERIAS ENTREPINARES,,,
FINCA LA ESPERANZA - PLIEGO,,,
CENTRAL HIDROELECTRICA DE CANDANCHU,,,
ROS ROCA (PLANTA TUEJAR),,,
MAZARRON  COGENERACION,,,
SOLVAY II,,43.376356,-4.042517
COLASEM,,,
LA PARDINA,,,
E. D. A. R. LEON Y SU ALFOZ,,,
E I E,,,
BECOSA-CARMONA,,,
CADOS,,,
"SMURFIT ESPANA,S.A. (ALCALA)-TEC 94, S.A.",,,
"COGENERACION IESA INTERMALTA, S.A.",,,
SANTA ANA DE BOLUETA,,,
PLASTICOS IMA,,,
PLANTA DE PURINES EN MESEGAR DE TAJO,,,
ENERCORR-BELLCAIRE,,,
AGROPOR,,,
LA ALJORRA - CARTAGENA 2,,,
LA RAPIDA N 1 DE FONTANAR,,,
CAN CABALLE,,,
CONSORCI SANITARI LA SELVA,,,
"REVERTE, SA",,,
MOREDA,,,
GAROGRES,,,
LA PALOMA,,,
CERAMICA SAN JAVIER,,,
PLANTA DE COGENERACION EN CARBONIFERA DEL EBRO AMPLIADA,,,
PLANTA DE COGENERACION EN CARBONIFERA DEL EBRO AMPLIADA,,,
BIESCAS I,,42.616985,-0.296996
LAS NORIAS,,,
C. HOSPITAL GENERAL UNIVERSITARIO DE VALENCIA,,,
ALMANDOZ,,,
ISABA,,,
VILLASECA,,,
JORGE-2,,,
"ENERGYWORKS CARBALLO, S.L.",,,
GALLIFA,,,
DEFIBER,,,
SERRASANS,,,
STORA ENSO,,41.464178,1.955698
FACTORIA DE BESOS,,,
COLONIA LLAUDET,,,
CAL JOVER,,,
MOLI DEL CASSO,,,
PRAT DEL RUMI,,,
LA ONZA,,,
TOLSA,,,
UFEFYS,,,
CARGILL ESPANA,,,
LA JOSEFINA,,,
SOLOGOEN,,,
QUINTANA DE VALDIVIESO,,,
AGUEDA,,,
AZUCARERA LEOPOLDO,,,
SAN LORENZO I,,,
MOLINAFERRERA,,,
FRANQUIA,,,
CAN BROS,,,
C.H. BRUTAU II,,,
ROCASSES,,,
EXAGRES,,,
HILATURAS NOGUERA,,,
TYLMESA,,,
TYLMESA,,,
LA RACHELA,,,
ARBUYO,,,
SAN MIGUEL DEL PINO,,,
ALCOZAR,,,
BALMASEDA,,,
MINERA DE SANTA MARTA,,,
LA PUEBLA DE ARGANZON,,,
ARANDA II,,,
"GRELVA, S.R.L.",,37.17812,-3.636121
SALTO DEL MOLINO DE GUADALEN,,,
IRABIA,,,
LA PROTECTORA,,,
SALTO DE MACHIN,,,
CG J.VILASECA,,,
CG J.VILASECA,,,
