name,eic_code,lat,lon
TORINO NORD,26WIMPI-0066050X,45.10383,7.61308
CCGT APRILIA,26WIMPI-0300653B,45.56156,12.63364
ILVA TARANTO CET3,26WIMPI-0420910Z,40.50201,17.21321
ENTRACQUE ROVINA,26WIMPI-R01ENTRX,44.22573,7.39012
VERZUOLO,26WIMZI-S01BVRG0,44.59458,7.48615
CHIVASSO,26WIMPI-S01CHVSE,45.18577,7.90138
E.ON C.TE LIVORNO FERRARIS ,26WIMPI-S01ECLF6,45.23754,8.19243
ENTRACQUE_CHRO,26WIMPI-S01ENTRP,44.16945,7.33204
U.O. MIRAFIORI,26WIMPI-S01FMTRO,45.07564,7.61103
LEINI,26WIMPI-S01LNEIG,45.16269,7.75045
MONCALIERI,26WIMPI-S01MNCLB,44.99293,7.67541
PONT VENTOUX,26WIMPI-S01PVNTQ,45.141299,6.962786
ROSONE,26WIMPI-S01RASNN,45.435348,7.418466
VENAUS,26WIMPI-S01VNSE6,45.161887,7.008396
AVISE,26WIMPI-S02AVSIS,45.700913,7.193059
VALPELLINE,26WIMPI-S02VLPL3,45.825196,7.333163
CASSANO,26WIMPI-S03ACMNW,45.51234,9.50979
CTE DEL MINCIO,26WIMPI-S03ACMSM,45.39991,10.71428
CENTRALE DI TURANO LODIGIANO - BERTONICO (LO),26WIMPI-S03CDTL1,45.22676,9.63727
LAMARMORA,26WIMPI-S03CLTCO,45.51658,10.21182
TENARIS DALMINE S.P.A.,26WIMPI-S03DBLMQ,45.63919,9.60481
EDOLO,26WIMPI-S03EDLO9,46.172153,10.344367
ENIPOWER MANTOVA,26WIMPI-S03EMC43,45.15026,10.83491
ENIPOWER FERRERA ERBOGNONE,26WIMPI-S03FERRD,45.09963,8.86632
GARGNANO,26WIMPI-S03GRGNY,45.703881,10.686097
LANZADA,26WIMPI-S03LNZDP,46.268585,9.877013
OSTIGLIA,26WIMPI-S03OSTG2,45.06032,11.13742
RONCOVALGRANDE,26WIMPI-S03RNCVS,46.067588,8.731877
S.FIORANO,26WIMPI-S03SFRNQ,46.049856,10.351457
SONDRIO,26WIMPI-S03SNDOY,46.286138,10.265884
SERMIDE,26WIMPI-S03SRMDD,45.02539,11.25398
SESTO SAN GIOVANNI,26WIMPI-S03SSSN8,45.54244,9.25239
TURBIGO,26WIMPI-S03TRBGZ,45.52051,8.74128
TAVAZZANO,26WIMPI-S03TVZZK,45.33248,9.43621
VOGHERA,26WIMPI-S03VEGHN,45.02959,8.97244
MESE,26WIMPI-S03XMCMK,46.304613,9.376503
CIMEGO,26WIMPI-S04CMGI4,45.923109,10.628414
CARDANO,26WIMPI-S04CRDA9,46.494973,11.395485
