name,eic_code,lat,lon
Adamów B1,19W000000000005K,52.01215,18.54445
Adamów B2,19W000000000005K,52.01215,18.54445
Adamów B3,19W000000000005K,52.01215,18.54445
Adamów B4,19W000000000005K,52.01215,18.54445
Adamów B5,19W000000000005K,52.01215,18.54445
Bełchatów B01,19W000000000016F,51.26719,19.31765
Bełchatów B02,19W000000000016F,51.26719,19.31765
Bełchatów B03,19W000000000016F,51.26719,19.31765
Bełchatów B04,19W000000000016F,51.26719,19.31765
Bełchatów B05,19W000000000016F,51.26719,19.31765
Bełchatów B06,19W000000000016F,51.26719,19.31765
Bełchatów B07,19W000000000016F,51.26719,19.31765
Bełchatów B08,19W000000000016F,51.26719,19.31765
Bełchatów B09,19W000000000016F,51.26719,19.31765
Bełchatów B10,19W000000000016F,51.26719,19.31765
Bełchatów B11,19W000000000016F,51.26719,19.31765
Bełchatów B12,19W000000000016F,51.26719,19.31765
Bełchatów B14,19W000000000016F,51.26719,19.31765
Dolna Odra B1,19W000000000043C,53.20981,14.46696
Dolna Odra B2,19W000000000043C,53.20981,14.46696
Dolna Odra B5,19W000000000043C,53.20981,14.46696
Dolna Odra B6,19W000000000043C,53.20981,14.46696
Dolna Odra B7,19W000000000043C,53.20981,14.46696
Dolna Odra B8,19W000000000043C,53.20981,14.46696
Dychów H1,19W000000000272Y,51.56076,15.45145
Dychów H2,19W000000000272Y,51.56076,15.45145
Dychów H3,19W000000000272Y,51.56076,15.45145
Jaworzno 3 B1,19W0000000000636,50.21356,19.2287
Jaworzno 3 B2,19W0000000000636,50.21356,19.2287
Jaworzno 3 B3,19W0000000000636,50.21356,19.2287
Jaworzno 3 B4,19W0000000000636,50.21356,19.2287
Jaworzno 3 B5,19W0000000000636,50.21356,19.2287
Jaworzno 3 B6,19W0000000000636,50.21356,19.2287
Karolin 2 Bl3,19W0000000000741,52.43639,16.98836
Kozienice 1 B1,19W000000000095U,51.66506,21.46532
Kozienice 1 B2,19W000000000095U,51.66506,21.46532
Kozienice 1 B3,19W000000000095U,51.66506,21.46532
Kozienice 1 B4,19W000000000095U,51.66506,21.46532
Kozienice 1 B5,19W000000000095U,51.66506,21.46532
Kozienice 1 B6,19W000000000095U,51.66506,21.46532
Kozienice 1 B7,19W000000000095U,51.66506,21.46532
Kozienice 1 B8,19W000000000095U,51.66506,21.46532
Kozienice 2 B09,19W000000000104I,51.66256,21.45766
Kozienice 2 B10,19W000000000104I,51.66256,21.45766
