name,eic_code,lat,lon
Ballylumford C,47W000000000154M,54.842785,-5.784617
Kilroot,47W000000000156I,54.725074,-5.767628
Ballylumford B,47W000000000153O,54.844944,-5.786942
Ballylumford B OCGT,47W000000000153O,54.844944,-5.786942
Kilroot OCGT,47W000000000156I,54.725074,-5.767628
Dungeness B,48WSTN00000DNGBQ,50.913842,0.959699
Hartlepool,48WSTN00000HRTL5,54.635479,-1.181119
Heysham 1,48WSTN0000HEYM1P,54.029263,-2.915381
Heysham 2,48WSTN0000HEYM2N,54.029263,-2.915381
Hinkley Point B,48WSTN00000HINB5,51.207959,-3.130173
Hunterston B,48WSTN00000HUNBV,55.722772,-4.891078
Sizewell B,48WSTN00000SIZBP,52.21511,1.62013
Torness,48WSTN00000TORNX,55.967523,-2.407059
Baglan Bay CCGT,48WSTN00000BAGE8,51.615507,-3.834601
Severn Power,48WSTN00000SVRP6,51.549042,-2.973381
Sutton Bridge,48WSTN00000SUTBW,52.757285,0.1928
Baglan Bay OCGT,48WSTN00000BAGE8,51.615507,-3.834601
Barry,48WSTN00000BRYPC,51.408887,-3.229519
Glanford Brigg,48WSTN00000BRGGA,53.622551,-0.701141
Killingholme,48WSTN000KILLPG5,53.659282,-0.255219
Langage,48WSTN00000LAGA3,50.388299,-4.010897
Peterborough,48WSTN00000PETEV,52.576906,-0.204006
South Humber Bank,48WSTN00000SHBAT,53.602042,-0.144875
Coolkeeragh,47W000000000155K,55.043914,-7.249869
Coolkeeragh OCGT,47W000000000155K,55.043914,-7.249869
Corby,48WSTN00000CORBV,52.510805,-0.681333
Drax - biomass units,48WSTN0000DRAXXK,53.73648,-0.996463
Drax - coal units,48WSTN0000DRAXXK,53.73648,-0.996463
Drax GT,48WSTN000DRAXXGK,53.73648,-0.996463
Blackburn Meadows,,53.418536,-1.404776
Steven's Croft ,48WSTN00000STCRI,55.152695,-3.380096
Castleford,,53.732003,-1.342831
Sandbach,,53.165356,-2.40608
Thornhill,,53.677056,-1.654963
West Burton CCGT,48WSTN0000WBURB5,53.361541,-0.810597
Cottam,48WSTN1000COTPSQ,53.303711,-0.778882
West Burton,48WSTN0000WBUPSE,53.361541,-0.810597
Barkantine Heat & Power Company *,,51.496234,-0.021774
London Heat & Power Company *,,51.498903,-0.174897
West Burton GT,48WSTN0000WBUGT2,53.361541,-0.810597
Eggborough,48WSTN0000EGGPS5,53.712738,-1.125744
Deeside,48WSTN00000DEEP3,53.233273,-3.053495
Saltend,48WSTN00000SCCLO,53.734814,-0.243259
Rugeley,48WSTN0000RUGPS5,52.75608,-1.916202
Rugeley GT,48WSTN0000RUGGTU,52.75608,-1.916202
