name,city,capacity,commissioned,technology,energy_source,country,source
Abwinden-Asten,Oberösterreich,168 MW,1979,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Altenmarkt,Steiermark,26 MW,1960,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Altenwörth,Niederösterreich,328 MW,1976,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Annabrücke,Kärnten,90 MW,1981,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Arnstein,Steiermark,30 MW,1925,Reservoir,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Aschach,Oberösterreich,287 MW,1964,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Bischofshofen,Salzburg,16 MW,1986,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Bodendorf-Mur,Steiermark,07 MW,1982,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Bodendorf-Paal,Steiermark,27 MW,1982,Reservoir,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Bösdornau,Tirol,25 MW,1940,Reservoir,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Dionysen,Steiermark,16 MW,1949,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Edling,Kärnten,87 MW,1962,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Egglfing-Obernberg,Oberösterreich,84 MW,1950,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Erzbach,Steiermark,01 MW,1986,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Feistritz-Ludmannsdorf,Kärnten,88 MW,1968,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Ferlach-Maria Rain,Kärnten,75 MW,1975,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Fisching,Steiermark,22 MW,1994,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Freudenau,Wien,172 MW,1998,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Friesach,Steiermark,12 MW,1998,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Gabersdorf,Steiermark,15 MW,1974,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Garsten-St.Ulrich,Oberösterreich,38 MW,1967,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Gemeinschaftskraftwerk Inn,Tirol,89 MW,2020,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Gerlos,Tirol,200 MW,1949,Reservoir,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Gralla,Steiermark,15 MW,1964,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Graz-Puntigam,Steiermark,18 MW,,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Greifenstein,Niederösterreich,293 MW,1985,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Gries,Salzburg,09 MW,2019,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Großraming,Oberösterreich,72 MW,1950,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Gstatterboden,Steiermark,02 MW,2009,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Gunggl,Tirol,04 MW,1992,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Gössendorf,Steiermark,19 MW,2012,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Hieflau,Steiermark,63 MW,1956,Reservoir,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Hieflau-Erzbach,Steiermark,01 MW,1956,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Hirzbach,Salzburg,01 MW,2012,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Häusling,Tirol,360 MW,1988,Pumped storage,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Kalsdorf,Steiermark,19 MW,2013,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Kaprun Hauptstufe,Salzburg,260 MW,1953,Reservoir,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Kaprun-Klammsee,Salzburg,01 MW,1947,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Kellerberg,Kärnten,25 MW,1985,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Klaus,Oberösterreich,20 MW,1975,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Kreuzbergmaut,Salzburg,18 MW,1996,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Kreuzeck,Kärnten,45 MW,1960,Reservoir,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Krippau,Steiermark,30 MW,1965,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Landl,Steiermark,25 MW,1967,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Laufnitzdorf,Steiermark,18 MW,1931,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Lavamünd,Kärnten,28 MW,1949,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Leoben,Steiermark,10 MW,2005,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Losenstein,Oberösterreich,39 MW,1962,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Malta-Hauptstufe (Rottau),Kärnten,730 MW,1979,Pumped storage,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Malta-Oberstufe (Kölnbreinsperre),Kärnten,120 MW,1979,Pumped storage,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Malta-Unterstufe (Möllbrücke),Kärnten,41 MW,1979,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Mandling,Steiermark,06 MW,1985,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Mayrhofen,Tirol,355 MW,1970,Reservoir,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Melk,Niederösterreich,187 MW,1982,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Mellach Fernheizkraftwerk,Steiermark,246 MW,1986,Steam turbine,Hard coal,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Mellach Gaskombikraftwerk,Steiermark,832 MW,2011,Steam turbine,Hard coal,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Mellach Laufkraftwerk,Steiermark,16 MW,1985,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Mühldorf,Kärnten,01 MW,1925,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Niklai,Kärnten,02 MW,1960,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Nußdorf bei Wien,Wien,05 MW,2005,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Obervogau,Steiermark,13 MW,1978,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Ottensheim-Wilhering,Oberösterreich,179 MW,1974,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Pack,Steiermark,01 MW,1931,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Paternion,Kärnten,24 MW,1988,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Peggau-Deutschfeistritz,Steiermark,13 MW,1965,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Pernegg,Steiermark,26 MW,1927,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Pichlern,Oberösterreich,02 MW,2005,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Pöls,Steiermark,02 MW,1904,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Rabenstein,Steiermark,14 MW,1987,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Ramsaubach,Steiermark,01 MW,1985,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Reißeck 2,Kärnten,430 MW,2016,Pumped storage,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Reißeck Jahresspeicher,Kärnten,68 MW,1962,Reservoir,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Reißeck Tagesspeicher,Kärnten,23 MW,1953,Reservoir,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Retznei,Steiermark,01 MW,1992,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Rosegg-St.Jakob,Kärnten,80 MW,1974,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Rosenau,Oberösterreich,34 MW,1953,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Roßhag,Tirol,231 MW,1972,Pumped storage,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Salza,Steiermark,09 MW,1949,Reservoir,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Schwabeck,Kärnten,79 MW,1943,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Schwarzach,Salzburg,120 MW,1960,Reservoir,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Schönau,Oberösterreich,30 MW,1972,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Spielfeld,Steiermark,13 MW,1982,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
St.Georgen,Steiermark,06 MW,1985,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
St.Johann,Salzburg,17 MW,1991,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
St.Martin,Steiermark,10 MW,1965,Reservoir,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
St.Pantaleon,Niederösterreich,51 MW,1965,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
St.Veit,Salzburg,17 MW,1989,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Steinfeld,Kärnten,01 MW,1963,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Sölk,Steiermark,61 MW,1978,Reservoir,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Talbach,Steiermark,01 MW,1926,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Teigitschmühle,Steiermark,01 MW,1926,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Ternberg,Oberösterreich,42 MW,1949,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Thurnsdorf,Niederösterreich,03 MW,1965,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Triebenbach,Steiermark,10 MW,1995,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Tuxbach,Tirol,01 MW,1930,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Unterer Tuxbach – Kleinkraftwerk Stillupp,Tirol,02 MW,,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Urreiting,Salzburg,17 MW,1986,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Villach,Kärnten,25 MW,1984,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Vordernberg,Steiermark,01 MW,1987,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Wallnerau-Salzach,Salzburg,13 MW,1990,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Wallnerau-Unterwasser,Salzburg,05 MW,1989,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Wallsee-Mitterkirchen,Oberösterreich,210 MW,1968,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Weinzödl,Steiermark,18 MW,1982,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Weißenegg,Steiermark,01 MW,1985,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Werfen/Pfarrwerfen,Salzburg,16 MW,2009,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Weyer,Oberösterreich,37 MW,1969,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
Ybbs-Persenbeug,Niederösterreich,237 MW,1959,Run-of-river,Hydro,AT,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke
