company,name,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon
VERBUND Thermal Power GmbH & Co KG,Mellach Gas-Kombikraftwerk,Weißeneggweg 1,8410,Neudorf ob Wildon,AT,832,Natural gas,Combined cycle,,CHP,yes,2011,,https://www.verbund.com/de-de/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-WGM-KW-----J,46.908219,15.492162
EVN AG,Theiß,Ludwig Brucknerstraße 1,3494,,AT,800,Natural gas,Gas turbine,,CHP,yes,2000,,https://www.evn.at/EVN-Group/Energie-Zukunft/Energie-aus-Niederosterreich/Gas-und-Kohle.aspx,14W-KW-THE-EVN-7,48.394861,15.710147
Wien Energie GmbH,Simmering 1,Haidequerstraße 1,1110,Wien-Simmering,AT,710,Natural gas,Combined cycle,,CHP,yes,2009,,https://umwelterklaerung.wienenergie.at/downloads/WienEnergie_Umwelterkl%C3%A4rung_2019_screen.pdf,14W-PROD-SIM---P,48.18331,16.43375
Energie AG Oberösterreich Kraftwerke GmbH,Timelkam,Mühlfeld 2,4850,Timelkam ,AT,405,Natural gas,Combined cycle,,CHP,yes,2008,,https://www.energieag.at/Themen/Energie-fuer-Sie/Kraftwerke/Thermische-Kraftwerke/,14WENERGIE--WT02,48.01256,13.59161
Wien Energie GmbH,Donaustadt,Primavesigasse 1,1220,Wien-Donaustadt,AT,395,Natural gas,Gas turbine,,CHP,yes,2001,,https://umwelterklaerung.wienenergie.at/downloads/WienEnergie_Umwelterkl%C3%A4rung_2019_screen.pdf,14W-PROD-DO----O,48.19878,16.46315
Wien Energie GmbH,Simmering 3,Haidequerstraße 1,1110,Wien-Simmering,AT,350,Natural gas,Combined cycle,,CHP,yes,2009,,https://umwelterklaerung.wienenergie.at/downloads/WienEnergie_Umwelterkl%C3%A4rung_2019_screen.pdf,14W-PROD-SIM---P,48.18331,16.43375
VERBUND Thermal Power GmbH & Co KG,Mellach Fernheizkraftwerk,Weißeneggweg 1,8410,Neudorf ob Wildon,AT,246,Mixed fossil fuels,Steam turbine,,CHP,yes,1986,,https://www.verbund.com/de-de/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-WML-KW-----0,46.908219,15.492162
LINZ AG,Linz-Mitte Fernheizkraftwerk,Nebingerstraße 1,4020,Linz,AT,217,Natural gas,Combined cycle,,CHP,yes,1970,,https://www.linzag.at/portal/de/ueber_die_linzag/konzern/gesellschaften/linz_strom_gas_waerme_gmbh/energieerzeugung/fernheizkraftwerk_linz_mitte#,14WLSG-MITTE---U,48.299219,14.322935
LINZ AG,Linz-Süd Fernheizkraftwerk,Lunzerstraße 90,4030,Linz,AT,192,Natural gas,Combined cycle,,CHP,yes,1993,,http://www.linzag.at/portal/portal/linzag/linzag/linzstrom/kraftwerke/linzsd/centerWindow?plaginit=1&action=1,14WLSG-1SUED---5,48.267893,14.346898
EVN AG,Korneuburg,Am Kraftwerk 13,2103,Langenzersdorf,AT,150,Natural gas,Combined cycle,,CHP,yes,1958,In reserve,https://www.evn.at/EVN-Group/Energie-Zukunft/Energie-aus-Niederosterreich/Gas-und-Kohle.aspx,14W-KW-KO2-EVN-5,48.33263,16.33981
Salzburg AG,Salzburg-Mitte Heizkraftwerk,Schwarzstraße 10,5020,Salzburg,AT,83.7,Natural gas,Combined cycle,,CHP,yes,2001,,https://www.salzburg-ag.at/herkunft/unsere-kraftwerke/heizkraftwerk-salzburg-mitte-2604/, ,47.80929,13.03819
Energie AG Oberösterreich Kraftwerke GmbH,Laakirchen,Schillerstra�e 5,4663,Laakirchen,AT,61,Natural gas,Combined cycle,,CHP,yes,1993,,https://www.energieag.at/Themen/Energie-fuer-Sie/Kraftwerke/Thermische-Kraftwerke,,,
Wien Energie GmbH,Simmering 2,Haidequerstraße 1,1110,Wien-Simmering,AT,60,Natural gas,Combined cycle,,CHP,yes,2009,,https://umwelterklaerung.wienenergie.at/downloads/WienEnergie_Umwelterkl%C3%A4rung_2019_screen.pdf,14W-PROD-SIM---P,48.18331,16.43375
eww ag,Wels Fernheizkraftwerk,Durisolstraße 3,4600,Wels,AT,47,Natural gas,Combined cycle,,CHP,yes,2000,,https://www.eww.at/fileadmin/user_upload/downloads/strom/EMAS/EMAS_2018.pdf, ,48.15184,14.00755
Salzburg AG,Salzburg-Nord Heizkraftwerk,Wasserfeldstraße 30,5020,Salzburg,AT,13.5,Natural gas,Steam turbine,,CHP,yes,1994,,https://www.salzburg-ag.at/herkunft/unsere-kraftwerke/heizkraftwerk-salzburg-nord-2611/, ,47.82744,13.03398
