Typ,Palivo,název elektrárny,oznacení bloku,výkon instalovaný (MW)
PE ,HU ,Alpiq‐ECK,7,135
PE ,HU ,Alpiq‐ECK,B5 ,135
PE ,HU ,Alpiq‐ECK,B7 ,135
PE ,HU ,C.Budejovice,TCB ,66.2
PE ,HU ,DRPEMO ,"VKR,TEV ",18
PE ,HU ,Dvur Kralove,TDK ,18.3
PE ,HU ,Energotrans ,TG1 ,60
PE ,HU ,Energotrans ,TG2 ,60
PE ,HU ,Energotrans ,TG3 ,60
PE ,HU ,Energotrans ,TG4 ,60
PE ,HU ,Hodonin ,EHO ,107
PE ,HU ,CHEZA ,,275
PE ,HU ,Chvaletice ,B1 ,205
PE ,HU ,Chvaletice ,B2 ,205
PE ,HU ,Chvaletice ,B3 ,205
PE ,HU ,Chvaletice ,B4 ,205
PE ,HU ,Karlovy Vary ,KVT ,1.3
PE ,HU ,Karvina ,TG4 ,15
PE ,HU ,Karvina ,TG5 ,40
PE ,HU ,Kauc.Kralupy,TG1 ,27
PE ,HU ,Kauc.Kralupy,TG2 ,33
PE ,HU ,Kolin Zalabi ,TG4 ,4.5
PE ,HU ,Kolin Zalabi ,TG5 ,12
PE ,HU ,Komorany,TG20 ,35
PE ,HU ,Komorany,TG21 ,22
PE ,HU ,Komorany,TG22 ,34
PE ,HU ,Komorany,TG4 ,32
PE ,HU ,Komorany,TG5 ,32
PE ,HU ,Komorany,TG6 ,32
PE ,HU ,Komorany,TG9 ,32
PE ,HU ,Ledvice 2 ,B2 ,110
PE ,HU ,Ledvice 2 ,B3 ,110
PE ,HU ,Ledvice 3 ,B4 ,110
PE ,HU ,Ledvice 4 ,B6 ,660
PE ,HU ,Liberec ,TLI ,15
 PE , HU , Melník2 , B10 ,110
 PE , HU , Melník2 , B9 ,110
 PE , HU , Melník3 , B11 ,500
 PE , HU , Náchod , TNA ,17
 PE , HU , Olomouc , TG3 ,41
 PE , HU , Olomouc , TG4 ,8
 PE , HU , Opatovice , TG1 ,60
 PE , HU , Opatovice , TG2 ,60
 PE , HU , Opatovice , TG3 ,63
 PE , HU , Opatovice , TG4 ,60
 PE , HU , Opatovice , TG5 ,60
 PE , HU , Opatovice , TG6 ,63
 PE , HU , Ostrava , TPV ,13.5
 PE , HU ,Ostrov n. O., TOS ,6
 PE , HU , Otrokovice , TG1 ,25
 PE , HU , Otrokovice , TG2 ,27.5
 PE , HU , PEVTZ , PEActherm ,26
 PE , HU , PE CEZ Morava , PESME ,129
 PE , HU , PE CEZ sever , PESCE ,173.7
 PE , HU , PE CEZ východ , PEVCE ,135
 PE , HU , PE CEZ západ , PEZCE ,26
 PE , HU , PE CEZstred , PESTE ,77.2
 PE , HU , PE EONvýchod , PEJME ,71
 PE , HU , PE EONzápad , PEJCE ,48.8
 PE , HU , PE PREdi , PEPRE ,11
 PE , HU , PE Vresová , TG1 ,55
 PE , HU , PE Vresová , TG2 ,55
 PE , HU , PE Vresová , TG3 ,55
 PE , HU , PE Vresová , TG4 ,55
 PE , HU , Písek , TPI ,7.8
 PE , HU , Planá n/L. , TG3 ,20.7
 PE , HU , Plzen teplárna , TG1 ,67
 PE , HU , Plzen teplárna , TG2 ,67
 PE , HU , Plzenská energetika , TG10 ,26
 PE , HU , Plzenská energetika , TG8 ,31
 PE , HU , Plzenská energetika , TG9 ,33
 PE , HU , Pocerady , B2 ,200
 PE , HU , Pocerady , B3 ,200
 PE , HU , Pocerady , B4 ,200
 PE , HU , Pocerady , B5 ,200
 PE , HU , Pocerady , B6 ,200
 PE , HU , Prunérov 1 , B3 ,110
 PE , HU , Prunérov 1 , B4 ,110
 PE , HU , Prunérov 1 , B5 ,110
 PE , HU , Prunérov 1 , B6 ,110
 PE , HU , Prunérov 2 , B23 ,250
 PE , HU , Prunérov 2 , B24 ,250
 PE , HU , Prunérov 2 , B25 ,250
