Type,Name,Installed capacity (MW),Location,Voltage level connection (KVT),Start date of the current version,End date of the current version
Biomass,PROVENCE 4 BIOMASSE,150,France,225,16/04/2018,
Gas,AMFARD14,130,France,225,01/09/2004,
Gas,AMFARD15,130,France,225,01/09/2004,
Gas,BLENOD 5,427,FRANCE,400,01/01/2000,
Gas,BOUCHAIN 7,585,FRANCE,400,01/11/2017,
Gas,COMBIGOLFE,425,France,225,01/07/2010,
Gas,CYCOFOS,428,France,225,01/09/2009,
Gas,Croix-de-Metz,413,France,225,09/08/2019,
Gas,DK6,796,France,225,21/05/2005,
Gas,EMILE HUCHET 7,413,France,400,28/06/2010,
Gas,EMILE HUCHET 8,413,France,400,28/06/2010,
Gas,FR-GA-MORANT1,401,France,225,01/01/2016,
Gas,GENNEVILLIERS 1,203,FRANCE,225,01/01/2000,
Gas,MARTIGUES PONTEAU 5,465,FRANCE,225,01/01/2000,
Gas,MARTIGUES PONTEAU 6,465,FRANCE,225,01/01/2000,
Gas,Pont-sur-Sambre,412,France,225,09/08/2019,
Gas,SPEM,435,France,225,08/11/2010,
Hard coal,CORDEMAIS 4,580,FRANCE,225,01/01/2000,
Hard coal,CORDEMAIS 5,580,FRANCE,225,01/01/2000,
Hard coal,EMILE HUCHET 6,595,France,225,01/07/1981,
Hard coal,HAVRE 4,580,FRANCE,225,01/01/2000,
Hard coal,PROVENCE 5,595,France,225,01/07/1984,
Oil,ARRIGHI 1,125,FRANCE,225,01/01/2000,
Oil,ARRIGHI 2,129,FRANCE,225,01/01/2000,
Oil,BRENNILIS 1,85,FRANCE,225,01/01/2000,
Oil,BRENNILIS 2,85,FRANCE,225,01/01/2000,
Oil,BRENNILIS 3,134,FRANCE,225,01/01/2000,
Oil,DIRINON 1,85,FRANCE,225,01/01/2000,
Oil,DIRINON 2,85,FRANCE,225,01/01/2000,
Oil,MONTEREAU 5,185,FRANCE,225,01/01/2000,
Oil,MONTEREAU 6,185,FRANCE,225,01/01/2000,
Oil,VAIRES 1,181,FRANCE,225,01/01/2000,
Oil,VAIRES 2,179,FRANCE,225,01/01/2000,
Oil,VAIRES 3,182,FRANCE,225,01/01/2000,
Pumping,CHEYLAS,485,FRANCE,400,01/01/2000,
Pumping,COCHE,384,FRANCE,400,30/10/2019,
Pumping,GRAND MAISON,1700,FRANCE,400,12/12/2017,
Pumping,MONTEZIC,910,FRANCE,400,01/01/2000,
Pumping,REVIN,808,FRANCE,400,01/01/2000,
Pumping,SUPER BISSORTE,742.3,FRANCE,400,01/01/2000,
Hydraulic over water / guided through,ASTON,104,FRANCE,225,01/01/2000,
Hydraulic over water / guided through,AVIGNON,126,France,225,01/01/1973,
Hydraulic over water / guided through,BAIX LOGIS NEUF 1,140,France,225,01/01/1960,
Hydraulic over water / guided through,BEAUCHASTEL,198,France,225,01/01/1963,
Hydraulic over water / guided through,BOURG les VALENCE,180,France,225,01/01/1968,
Hydraulic over water / guided through,CADEROUSSE,156,France,63,01/01/1975,
Hydraulic over water / guided through,CHASTANG,293,FRANCE,225,01/01/2000,
Hydraulic over water / guided through,COUESQUE,119,FRANCE,225,01/01/2000,
Hydraulic over water / guided through,DONZERE MONDRAGON,348,France,225,01/01/1952,
Hydraulic over water / guided through,FESSENHEIM,175,FRANCE,225,01/01/2000,
Hydraulic over water / guided through,FR_LA-MAREGES-P,150,France,225,01/06/2018,
Hydraulic over water / guided through,FR_LA-STPIERRE-P,122,France,225,01/06/2018,
Hydraulic over water / guided through,GENISSIAT,420,France,225,01/01/1948,
Hydraulic over water / guided through,GERSTHEIM,140.5,FRANCE,225,01/01/2000,
Hydraulic over water / guided through,HERMILLON,115.6,FRANCE,225,01/01/2000,
Hydraulic over water / guided through,KEMBS,162.1,FRANCE,225,08/12/2016,
Hydraulic over water / guided through,MARCKOLSHEIM,156.2,FRANCE,225,01/01/2000,
Hydraulic over water / guided through,MONTELIMAR,295,France,225,01/01/1957,
Hydraulic over water / guided through,OTTMARSHEIM,156,FRANCE,63,01/01/2000,
Hydraulic over water / guided through,PASSY,104,FRANCE,225,01/01/2000,
Hydraulic over water / guided through,RANDENS,124.2,FRANCE,150,01/01/2000,
Hydraulic over water / guided through,RHINAU,152,FRANCE,225,08/12/2016,
Hydraulic over water / guided through,SAINT PIERRE COGNET,101,FRANCE,225,01/01/2000,
Hydraulic over water / guided through,SAUSSAZ,145.4,FRANCE,225,01/01/2000,
Hydraulic over water / guided through,STRASBOURG,147.8,FRANCE,225,08/12/2016,
Hydraulic over water / guided through,VALLABREGUES,210,France,225,01/01/1970,
Hydraulic over water / guided through,VOGELGRUN,140.5,FRANCE,225,01/01/2000,
Hydraulic lakes,AIGLE,360,FRANCE,225,01/01/2000,
Hydraulic lakes,BATHIE,592,FRANCE,225,28/11/2018,
Hydraulic lakes,BORT,235,FRANCE,225,01/01/2000,
Hydraulic lakes,BROMMAT,406,FRANCE,225,01/01/2000,
Hydraulic lakes,COMBE D'AVRIEUX,123,FRANCE,225,01/01/2000,
Hydraulic lakes,CURBANS,139,FRANCE,225,01/01/2000,
Hydraulic lakes,MALGOVERT,297,FRANCE,225,01/01/2000,
Hydraulic lakes,MONTEYNARD,366,FRANCE,225,01/01/2000,
Hydraulic lakes,MONTPEZAT,131.8,FRANCE,225,01/01/2000,
Hydraulic lakes,ORAISON,187,FRANCE,225,01/01/2000,
Hydraulic lakes,PIED DE BORNE,109.4,FRANCE,225,01/01/2000,
Hydraulic lakes,POUGET,446.9,FRANCE,225,01/01/2000,
Hydraulic lakes,PRAGNERES,189.2,FRANCE,225,01/01/2000,
Hydraulic lakes,SAINT CHAMAS,159,FRANCE,225,01/01/2000,
Hydraulic lakes,SAINT ESTEVE,141,FRANCE,225,01/01/2000,
Hydraulic lakes,SAINT GUILLERME,116,FRANCE,63,01/01/2000,
Hydraulic lakes,SAINTE CROIX,132.3,FRANCE,225,01/01/2000,
Hydraulic lakes,SARRANS,183,FRANCE,225,01/01/2000,
Hydraulic lakes,SERRE PONCON,384,FRANCE,225,01/01/2000,
Hydraulic lakes,SISTERON,240,FRANCE,225,15/09/2017,
Hydraulic lakes,ST ETIENNE CANTALES,103.3,FRANCE,90,08/12/2016,
Hydraulic lakes,VILLARODIN,357,FRANCE,400,01/01/2000,
Hydraulic lakes,VOUGLANS,285,FRANCE,225,01/01/2000,
Marine,RANCE,240,FRANCE,225,01/01/2000,
Nuclear,BELLEVILLE 1,1310,FRANCE,400,01/01/2000,
Nuclear,BELLEVILLE 2,1310,FRANCE,400,01/01/2000,
Nuclear,BLAYAIS 1,910,FRANCE,400,01/01/2000,
Nuclear,BLAYAIS 2,910,FRANCE,400,01/01/2000,
Nuclear,BLAYAIS 3,910,FRANCE,400,01/01/2000,
Nuclear,BLAYAIS 4,910,FRANCE,400,01/01/2000,
Nuclear,BUGEY 2,910,FRANCE,400,01/01/2000,
Nuclear,BUGEY 3,910,FRANCE,400,01/01/2000,
Nuclear,BUGEY 4,880,FRANCE,400,01/01/2000,
Nuclear,BUGEY 5,880,FRANCE,400,01/01/2000,
Nuclear,CATTENOM 1,1300,FRANCE,400,01/01/2000,
Nuclear,CATTENOM 2,1300,FRANCE,400,01/01/2000,
Nuclear,CATTENOM 3,1300,FRANCE,400,01/01/2000,
Nuclear,CATTENOM 4,1300,FRANCE,400,01/01/2000,
Nuclear,CHINON 1,905,FRANCE,400,01/01/2000,
Nuclear,CHINON 2,905,FRANCE,400,01/01/2000,
Nuclear,CHINON 3,905,FRANCE,400,01/01/2000,
Nuclear,CHINON 4,905,FRANCE,400,01/01/2000,
Nuclear,CHOOZ 1,1500,FRANCE,400,01/01/2000,
Nuclear,CHOOZ 2,1500,FRANCE,400,01/01/2000,
Nuclear,CIVAUX 1,1495,FRANCE,400,01/01/2000,
Nuclear,CIVAUX 2,1495,FRANCE,400,01/01/2000,
Nuclear,CRUAS 1,915,FRANCE,400,01/01/2000,
Nuclear,CRUAS 2,915,FRANCE,400,01/01/2000,
Nuclear,CRUAS 3,915,FRANCE,400,01/01/2000,
Nuclear,CRUAS 4,915,FRANCE,400,01/01/2000,
Nuclear,DAMPIERRE 1,890,FRANCE,400,01/01/2000,
Nuclear,DAMPIERRE 2,890,FRANCE,400,01/01/2000,
Nuclear,DAMPIERRE 3,890,FRANCE,400,01/01/2000,
Nuclear,DAMPIERRE 4,890,FRANCE,400,01/01/2000,
Nuclear,FESSENHEIM 1,880,FRANCE,400,01/01/2000,
Nuclear,FESSENHEIM 2,880,FRANCE,400,01/01/2000,
Nuclear,FLAMANVILLE 1,1330,FRANCE,400,01/01/2000,
Nuclear,FLAMANVILLE 2,1330,FRANCE,400,01/01/2000,
Nuclear,GOLFECH 1,1310,FRANCE,400,01/01/2000,
Nuclear,GOLFECH 2,1310,FRANCE,400,01/01/2000,
Nuclear,GRAVELINES 1,910,FRANCE,400,01/01/2000,
Nuclear,GRAVELINES 2,910,FRANCE,400,01/01/2000,
Nuclear,GRAVELINES 3,910,FRANCE,400,01/01/2000,
Nuclear,GRAVELINES 4,910,FRANCE,400,01/01/2000,
Nuclear,GRAVELINES 5,910,FRANCE,400,01/01/2000,
Nuclear,GRAVELINES 6,910,FRANCE,400,01/01/2000,
Nuclear,NOGENT 1,1310,FRANCE,400,01/01/2000,
Nuclear,NOGENT 2,1310,FRANCE,400,01/01/2000,
Nuclear,PALUEL 1,1330,FRANCE,400,01/01/2000,
Nuclear,PALUEL 2,1330,FRANCE,400,01/01/2000,
Nuclear,PALUEL 3,1330,FRANCE,400,01/01/2000,
Nuclear,PALUEL 4,1330,FRANCE,400,01/01/2000,
Nuclear,PENLY 1,1330,FRANCE,400,01/01/2000,
Nuclear,PENLY 2,1330,FRANCE,400,01/01/2000,
Nuclear,ST ALBAN 1,1335,FRANCE,400,01/01/2000,
Nuclear,ST ALBAN 2,1335,FRANCE,400,01/01/2000,
Nuclear,ST LAURENT 1,915,FRANCE,400,01/01/2000,
Nuclear,ST LAURENT 2,915,FRANCE,400,01/01/2000,
Nuclear,TRICASTIN 1,915,FRANCE,225,01/01/2000,
Nuclear,TRICASTIN 2,915,FRANCE,225,01/01/2000,
Nuclear,TRICASTIN 3,915,FRANCE,225,01/01/2000,
Nuclear,TRICASTIN 4,915,FRANCE,225,01/01/2000,
Other,CYCOFOS TV2,62,France,225,01/09/2009,
