ID BNetzA,uba_match_name,uba_match_fuel
BNA0005,Ahrensfelde A bis D,Erdgas
BNA0006,Ahrensfelde A bis D,Erdgas
BNA0007,Ahrensfelde A bis D,Erdgas
BNA0008,Ahrensfelde A bis D,Erdgas
BNA0010a,Albbruck-Dogern,Wasser
BNA0010b,Albbruck-Dogern,Wasser
BNA0015,"Altbach/Deizisau GT A-C, E",Erdgas
BNA0016,"Altbach/Deizisau GT A-C, E",Erdgas
BNA0017,"Altbach/Deizisau GT A-C, E",Erdgas
BNA0018,"Altbach/Deizisau GT A-C, E",Erdgas
BNA0019,Altbach/Deizisau HKW 1,Steinkohle
BNA0020,Altbach/Deizisau HKW 2,Steinkohle
BNA1659,Amrumbank West,Wind (O)
BNA0027,Arneburg,Biomasse
BNA0028a,Arneburg,Wind (L)
BNA0028b,Arneburg,Wind (L)
BNA1660,Baltic II (Kriegers Flak I),Wind (O)
BNA0039,BARD Offshore,Wind (O)
BNA0067,Bergkamen A,Steinkohle
BNA0074,Berlin-Charlottenburg 4 bis 6,Erdgas
BNA0081,Berlin-Klingenberg,Braunkohle
BNA0075,Berlin-Lichterfelde 1,Erdgas
BNA0076,Berlin-Lichterfelde 2,Erdgas
BNA0080,Berlin-Lichterfelde 3,Erdgas
BNA0073,Berlin-Mitte HKW GT 1,Erdgas
BNA0073,Berlin-Mitte HKW GT 2,Erdgas
BNA0073,Berlin-Mitte HKW DT,Erdgas
BNA0085a,Berlin-Moabit A,Steinkohle
BNA0082,Berlin-Reuter C,Steinkohle
BNA0086,Berlin-Reuter-West D,Steinkohle
BNA0087,Berlin-Reuter-West E,Steinkohle
BNA0083,Berlin-Wilmersdorf 1 bis 3,HEL
BNA0088b,Bernburg,Erdgas
BNA0088a,Bernburg,Erdgas
BNA0093,Bexbach,Steinkohle
BNA0102,Biere / Borne,Wind (L)
BNA0105,Bitterfeld Chemiepark,Erdgas
BNA1559,Borkum Riffgrund I,Wind (O)
BNA1565,Borkum West,Wind (O)
BNA0122,Boxberg N,Braunkohle
BNA0123,Boxberg P,Braunkohle
BNA0124,Boxberg Q,Braunkohle
BNA1404,Boxberg R,Braunkohle
BNA0529,Braunau-Simbach / Inn,Wasser
BNA0135,Braunschweig-Mitte,"Erdgas, Steinkohle"
BNA0136,Braunschweig-Mitte,"Erdgas, Steinkohle"
BNA0138,Braunschweig-Mitte,"Erdgas, Steinkohle"
BNA0147,Bremen-Farge,Steinkohle
BNA0146,"Bremen-Hafen 6, (Elfi)",Steinkohle
BNA0144,Bremen-Hastedt 15,Steinkohle
BNA0142,Bremen-Mittelsbüren 4,Gichtgas
BNA0157,Brokdorf (KBR),Uran
BNA0161,Brunsbüttel A bis D,HEL
BNA0162,Brunsbüttel A bis D,HEL
BNA0163,Brunsbüttel A bis D,HEL
BNA0164,Brunsbüttel A bis D,HEL
BNA0172a,Burghausen,Erdgas
BNA0439,Buschhaus (Helmstedt),Braunkohle
BNA1564,Butendiek,Wind (O)
BNA0179,Chemnitz Nord II C/30,Braunkohle
BNA1548,Dahme,Wind (L)
BNA1560,DanTysk,Wind (O)
BNA1487,Darmstadt,Erdgas
BNA0199,Dormagen,Erdgas
BNA0207,Dresden Nossener Brücke,Erdgas
BNA0209,Druxberge,Wind (L)
BNA0396,Duisburg-Hamborn 4,Gichtgas
BNA0397,Duisburg-Hamborn 5,Gichtgas
BNA0211,Duisburg-Hochfeld HKW I,Steinkohle
BNA0218,Duisburg-Ruhrort 3,Gichtgas
