id;efficiency_net;efficiency_gross;efficiency_comment;date;efficiency_source;source_type
BNA0001;;;;;;
BNA0002;;;;;;
BNA0003;;;;;;
BNA0004;;;;;;
BNA0005;0.31;;;30.10.2015;https://www.ffe.de/download/berichte/Endbericht_Energiezukunft_2050_Teil_II.pdf (S.191);A
BNA0006;0.31;;;30.10.2015;https://www.ffe.de/download/berichte/Endbericht_Energiezukunft_2050_Teil_II.pdf (S.191);A
BNA0007;0.31;;;30.10.2015;https://www.ffe.de/download/berichte/Endbericht_Energiezukunft_2050_Teil_II.pdf (S.191);A
BNA0008;0.31;;;30.10.2015;https://www.ffe.de/download/berichte/Endbericht_Energiezukunft_2050_Teil_II.pdf (S.191);A
BNA0009;;;;;;
BNA0010a;;;;;;
BNA0010b;;;;;;
BNA0012a;;;;;;
BNA0012b;;;;28.10.2015;;
BNA0012c;;;;;;
BNA0012d;;;;28.10.2015;;
BNA0013;;;;;;
BNA0014;;;;;;
BNA0015;0.44;0.8;Brutto: KWK Wirkungsgrad;25.11.2015;http://www.feuerwehr-oberboihingen.de/index.php?id=210&tx_ttnews[tt_news]=452&cHash=d8aa7375c5ed6e4b398f9bee5e270dbb;B
BNA0016;;;;;;
BNA0017;;;;;;
BNA0018;;;;;;
BNA0019;0.44;;;28.10.2015;http://www.feuerwehr-oberboihingen.de/index.php?id=210&tx_ttnews[tt_news]=452&cHash=d8aa7375c5ed6e4b398f9bee5e270dbb;B
BNA0020;0.44;;;28.10.2015;http://www.feuerwehr-oberboihingen.de/index.php?id=210&tx_ttnews[tt_news]=452&cHash=d8aa7375c5ed6e4b398f9bee5e270dbb;B
BNA0021;;;;;;
BNA0023;;;;;;
BNA0024;;;;;;
BNA0025;;;;;;
BNA0026;;;;;;
BNA0027;;;;;;
BNA0028a;;;;;;
BNA0028b;;;;;;
BNA0029;;;;;;
BNA0030;;;;;;
BNA0033;;;;17.11.2015;;
BNA0034;;;;;;
BNA0035;;;;;;
BNA0036;;;;;;
BNA0037;;;;;;
BNA0038;;;;;;
BNA0039;;;;;;
BNA0042;;;;;;
BNA0043;;;;;;
BNA0044a;;;;;;
BNA0044b;;;;;;
BNA0045;;;;;;
BNA0046;;;;17.11.2015;;
BNA0047;;;;;;
BNA0048;;;;;;
BNA0049;;;;;;
BNA0050;;;;;;
BNA0051;;0.75;;29.10.2015;http://www.cargill.de/de/locations/barby/index.jsp;A
