id;lat;lon;location_checked
BNA0005;52.58950001;13.5586524;15.12.2015
BNA0006;52.58950001;13.5586524;15.12.2015
BNA0007;52.58950001;13.5586524;15.12.2015
BNA0008;52.58950001;13.5586524;15.12.2015
BNA0010a;47.58629;8.13207;15.12.2015
BNA0010b;47.598482;8.170982;05.01.2016
BNA0011;47.58931;8.13261;05.01.2016
BNA0012a;51.984761;9.822831;05.01.2016
BNA0012b;51.98513;9.82246;05.01.2016
BNA0012c;51.98513;9.82246;05.01.2016
BNA0012d;51.98513;9.82246;05.01.2016
BNA0015;48.717611;9.374917;05.01.2016
BNA0016;48.717611;9.374917;05.01.2016
BNA0017;48.717611;9.374917;05.01.2016
BNA0018;48.717611;9.374917;05.01.2016
BNA0019;48.717611;9.374917;05.01.2016
BNA0020;48.717611;9.374917;05.01.2016
BNA0021;47.79714;10.85874;05.01.2016
BNA0024;46.8142048;12.761757;05.01.2016
BNA0025;53.85625;13.7101;05.01.2016
BNA0027;52.72713;12.01115;05.01.2016
BNA0033;48.40099;10.93576;05.01.2016
BNA0042;48.3206154;13.3160755;05.01.2016
BNA0045;47.5585312;7.9556579;05.01.2016
BNA0046;47.565416;7.954035;05.01.2016
BNA0051;51.983192;11.87656;05.01.2016
BNA0055;52.07778;13.51725;05.01.2016
BNA0059a;51.25883;9.43341;05.01.2016
BNA0059b;51.25308;9.4379;05.01.2016
BNA0062;52.18269;14.25841;05.01.2016
BNA0065;48.750807;11.273237;05.01.2016
BNA0066;51.63701;7.61876;05.01.2016
BNA0067;51.63702;7.6191;05.01.2016
BNA0068;52.42529;13.517308;05.01.2016
BNA0073;52.51172353;13.4209156;05.01.2016
BNA0074;52.52185624;13.31109524;05.01.2016
BNA0074;52.52185624;13.31109524;05.01.2016
BNA0074;52.52185624;13.31109524;05.01.2016
BNA0075;52.42520804;13.30976486;05.01.2016
BNA0076;52.42520804;13.30976486;05.01.2016
BNA0080;52.42520804;13.30976486;05.01.2016
BNA0081;52.48891639;13.49696159;05.01.2016
BNA0082;52.532146;13.246072;05.01.2016
BNA0083;52.48159366;13.30761909;05.01.2016
BNA0083;52.48159366;13.30761909;05.01.2016
BNA0083;52.48159366;13.30761909;05.01.2016
BNA0084;52.532146;13.246072;05.01.2016
BNA0085a;52.53735111;13.34611416;05.01.2016
BNA0085b;52.53735111;13.34611416;05.01.2016
BNA0086;52.53508792;13.24264526;05.01.2016
BNA0087;52.53508792;13.24264526;05.01.2016
BNA0088a;51.802609;11.751511;05.01.2016
BNA0088b;51.801239;11.75441;05.01.2016
BNA0090;53.2656;13.95;wrong
BNA0093;49.363481;7.237136;08.01.2016
BNA0097;52.04269;8.60719;08.01.2016
BNA0098;52.03333333;8.533333333;wrong
BNA0099;51.98396;8.45139;08.01.2016
BNA0100;52.03333333;8.533333333;wrong
BNA0101;52.03333333;8.533333333;wrong
BNA0103;51.48993;10.41307;08.01.2016
BNA0105;51.6257;12.327;wrong
BNA0106;51.490098;10.412883;08.01.2016
BNA0108;51.83827;6.6219;not in excel
BNA0110;51.48333333;7.216666667;08.01.2016
BNA0111;51.50795;7.25029;08.01.2016
BNA0115;51.182122;12.373287;08.01.2016
BNA0116;51.182122;12.373287;08.01.2016
BNA0117a;50.73382;7.08055;korrigiert
BNA0117b;50.73382;7.08055;korrigiert
BNA0118;50.73382;7.08055;08.01.2016
BNA0121;51.85542;6.88867;08.01.2016
BNA0122;51.41626317;14.56194878;08.01.2016
BNA0123;51.41626317;14.56194878;08.01.2016
BNA0124;51.41626317;14.56194878;08.01.2016
BNA0129;51.512175;13.97109;08.01.2016
BNA0130;52.394167;12.418056;08.01.2016
BNA0135;52.278611;10.514722;08.01.2016
BNA0136;52.278611;10.514722;08.01.2016
BNA0137;52.278611;10.514722;08.01.2016
BNA0138;52.278611;10.514722;08.01.2016
BNA0139;53.12482;8.72887;08.01.2016
BNA0140;53.06008;8.87328;08.01.2016
BNA0141;53.12891;8.68524;08.01.2016
BNA0142;53.12891;8.68524;08.01.2016
BNA0143;53.12891;8.68524;08.01.2016
BNA0144;53.06008;8.87328;08.01.2016
BNA0145;53.12482;8.72887;08.01.2016
BNA0146;53.124861;8.728657;08.01.2016
BNA0147;53.20206653;8.516153926;08.01.2016
BNA0156a;51.40667;8.60115;08.01.2016
BNA0156b;51.40845951;8.599935409;08.01.2016
BNA0157;53.851095;9.345944;08.01.2016
BNA0161;53.89251924;9.201135635;08.01.2016
BNA0162;53.89251924;9.201135635;08.01.2016
BNA0163;53.89251924;9.201135635;08.01.2016
BNA0164;53.89251924;9.201135635;08.01.2016
BNA0169;49.515359;9.325151;korrigiert
BNA0172;48.18345;12.85311;08.01.2016
BNA0173;48.1769;12.84045;08.01.2016
BNA0174;48.17679;12.73056;08.01.2016
BNA0176;51.92012;11.80181;08.01.2016
BNA0177;50.856981;12.923096;08.01.2016
BNA0178;50.856981;12.923096;08.01.2016
BNA0179;50.856981;12.923096;08.01.2016
BNA0183;51.76017;14.37004;08.01.2016
BNA0187;51.62952;7.331174;08.01.2016
BNA0188;51.62952;7.331174;08.01.2016
BNA0189;51.62952;7.331174;08.01.2016
BNA0191;51.50703;12.30048;08.01.2016
BNA0192;51.51521;12.32479;08.01.2016
BNA0194;51.82685;12.23003;08.01.2016
BNA0196;51.11187;12.07617;08.01.2016
BNA0199;51.07908;6.82871;08.01.2016
BNA0202;51.51973;7.47697;08.01.2016
BNA0203;51.56846926;7.349182511;08.01.2016
BNA0207;51.042119;13.708597;08.01.2016
BNA0211;51.429324;6.751984;korrigiert
BNA0212;51.429324;6.751984;korrigiert
BNA0213;51.390662;6.747783;korrigiert
BNA0214;51.390662;6.747783;korrigiert
BNA0215;51.528611;6.711944;08.01.2016
BNA0216a;51.52672;6.71868;08.01.2016
BNA0216b;51.52672;6.71868;08.01.2016
BNA0217;51.459673;6.730574;08.01.2016
BNA0218;51.459673;6.730574;08.01.2016
BNA0219;51.459673;6.730574;08.01.2016
BNA0220;51.22138;6.73131;08.01.2016
BNA0221a;51.22116;6.73193;08.01.2016
BNA0221b;51.22116;6.73193;08.01.2016
BNA0221c;51.22138;6.73131;08.01.2016
BNA0222;51.222794;6.813696;08.01.2016
BNA0223a;51.22455;6.81543;08.01.2016
BNA0223b;51.222794;6.813696;08.01.2016
BNA0224;52.851545;13.77806;08.01.2016
BNA0228;51.167139;9.046832;korrigiert
BNA0229;51.167139;9.046832;korrigiert
BNA0230;51.167139;9.046832;korrigiert
BNA0230;51.167139;9.046832;korrigiert
BNA0232a;48.26698;9.72615;08.01.2016
BNA0232b;48.26693;9.72626;08.01.2016
BNA0232c;48.26693;9.72626;08.01.2016
BNA0233;51.46561;12.59204;08.01.2016
BNA0237;52.16883;14.64079;08.01.2016
BNA0238;52.16883;14.64079;not in excel
BNA0238a;52.1674;14.62697;08.01.2016
BNA0238b;52.1674;14.62697;08.01.2016
BNA0239;53.18969;8.40869;08.01.2016
BNA0242;51.46616;13.50464;08.01.2016
