ID BNetzA;ID UBA;uba_name;uba_fuel
BNA0005;1;Ahrensfelde A bis D;Erdgas
BNA0006;1;Ahrensfelde A bis D;Erdgas
BNA0007;1;Ahrensfelde A bis D;Erdgas
BNA0008;1;Ahrensfelde A bis D;Erdgas
BNA0010a;2;Albbruck-Dogern;Wasser
BNA0010b;2;Albbruck-Dogern;Wasser
BNA0016;3;Altbach/Deizisau GT A-C, E;Erdgas
BNA0017;3;Altbach/Deizisau GT A-C, E;Erdgas
BNA0018;3;Altbach/Deizisau GT A-C, E;Erdgas
BNA0015;3;Altbach/Deizisau GT A-C, E;Erdgas
BNA0020;4;Altbach/Deizisau HKW 1;Steinkohle
BNA0019;5;Altbach/Deizisau HKW 2;Steinkohle
BNA0027;7;Arneburg;Biomasse
BNA0067;9;Bergkamen A;Steinkohle
BNA0074;10;Berlin-Charlottenburg 4 bis 6;Erdgas
BNA0081;11;Berlin-Klingenberg;Braunkohle
BNA0075;12;Berlin-Lichterfelde 1;Erdgas
BNA0080;13;Berlin-Lichterfelde 2;Erdgas
BNA0076;14;Berlin-Lichterfelde 3;Erdgas
BNA0073;15;Berlin-Mitte HKW GT 1;Erdgas
BNA0073;16;Berlin-Mitte HKW GT 2;Erdgas
BNA0073;17;Berlin-Mitte HKW DT;Erdgas
BNA0085a;18;Berlin-Moabit A;Steinkohle
BNA0082;19;Berlin-Reuter C;Steinkohle
BNA0086;20;Berlin-Reuter-West D;Steinkohle
BNA0087;21;Berlin-Reuter-West E;Steinkohle
BNA0083;22;Berlin-Wilmersdorf 1 bis 3;HEL
BNA0088b;23;Bernburg;Erdgas
BNA0088a;23;Bernburg;Erdgas
BNA0093;24;Bexbach;Steinkohle
BNA0105;26;Bitterfeld Chemiepark;Erdgas
BNA0122;28;Boxberg N;Braunkohle
BNA0123;29;Boxberg P;Braunkohle
BNA0124;30;Boxberg Q;Braunkohle
BNA1404;31;Boxberg R;Braunkohle
BNA0529;32;Braunau-Simbach / Inn;Wasser
BNA0136;33;Braunschweig-Mitte;Erdgas, Steinkohle
BNA0135;33;Braunschweig-Mitte;Erdgas, Steinkohle
BNA0138;33;Braunschweig-Mitte;Erdgas, Steinkohle
BNA0147;34;Bremen-Farge;Steinkohle
BNA0146;35;Bremen-Hafen 6, (Elfi);Steinkohle
BNA0144;36;Bremen-Hastedt 15;Steinkohle
BNA0142;37;Bremen-Mittelsbüren 4;Gichtgas
BNA0157;38;Brokdorf (KBR);Uran
BNA0161;39;Brunsbüttel A bis D;HEL
BNA0162;39;Brunsbüttel A bis D;HEL
BNA0163;39;Brunsbüttel A bis D;HEL
BNA0164;39;Brunsbüttel A bis D;HEL
BNA0172;40;Burghausen;Erdgas
BNA0439;41;Buschhaus (Helmstedt);Braunkohle
BNA0179;43;Chemnitz Nord II C/30;Braunkohle
BNA1487;46;Darmstadt;Erdgas
BNA0199;47;Dormagen;Erdgas
BNA0207;48;Dresden Nossener Brücke;Erdgas
BNA0396;50;Duisburg-Hamborn 4;Gichtgas
BNA0397;51;Duisburg-Hamborn 5;Gichtgas
BNA0211;52;Duisburg-Hochfeld HKW I;Steinkohle
BNA0218;53;Duisburg-Ruhrort 3;Gichtgas
BNA0219;54;Duisburg-Ruhrort 4;Gichtgas
BNA0216a;55;Duisburg-Walsum 9;Steinkohle
BNA0216b;56;Duisburg-Walsum 10;Steinkohle
BNA0214;57;Duisburg-Wanheim HKW III B;Erdgas
BNA0238a;58;Eisenhüttenstadt;Konvertergas
BNA0238b;58;Eisenhüttenstadt;Konvertergas
BNA0607;59;Emsland-Lingen (KLE);Uran
BNA0604;60;Emsland B (Lingen) DT;Erdgas
BNA0603;61;Emsland B (Lingen) GT 1 u. 2;Erdgas
BNA0605;62;Emsland C (Lingen) DT;Erdgas
BNA0602;63;Emsland C (Lingen) GT 1 u. 2;Erdgas
BNA0606;64;Emsland D (Lingen) DT;Erdgas
BNA0606;65;Emsland D (Lingen) GT 1;Erdgas
BNA0606;66;Emsland D (Lingen) GT 2;Erdgas
BNA0253;67;Ensdorf 1;Steinkohle
BNA0252;68;Ensdorf 3;Steinkohle
BNA0256a;69;Erfurt-Ost;Erdgas
BNA0256b;69;Erfurt-Ost;Erdgas
BNA0558;70;Erzhausen 1-4 / Leine;Wasser
BNA0274;73;Flensburg K07 bis K11;Steinkohle
BNA0273;73;Flensburg K07 bis K11;Steinkohle
BNA0272;73;Flensburg K07 bis K11;Steinkohle
BNA0271;73;Flensburg K07 bis K11;Steinkohle
BNA0270;73;Flensburg K07 bis K11;Steinkohle
BNA0744;74;Franken I-1 (Nürnberg);Erdgas
BNA0745;75;Franken I-2 (Nürnberg);Erdgas
BNA0499;76;Frankfurt-Hoechst A u. B;Erdgas, Steinkohle
BNA0498;76;Frankfurt-Hoechst A u. B;Erdgas, Steinkohle
BNA0497;77;Frankfurt-Hoechst C;Erdgas
BNA0285;78;Frankfurt-Niederrad;Erdgas
BNA0288;78;Frankfurt-Niederrad;Erdgas
BNA0289a;79;Frankfurt-West 2 u. 3;Steinkohle
BNA0289b;79;Frankfurt-West 2 u. 3;Steinkohle
BNA0290;79;Frankfurt-West 2 u. 3;Steinkohle
BNA0286;80;Frankfurt-West 4;Erdgas
BNA0292;81;Frechen / Wachtberg;Braunkohle
BNA0313;82;Frimmersdorf P;Braunkohle
BNA0314;83;Frimmersdorf Q;Braunkohle
;84;Gambsheim / Rhein 1-4;Wasser
BNA0327;85;Geesthacht A-C / Elbe;Wasser
BNA0328;85;Geesthacht A-C / Elbe;Wasser
BNA0329;85;Geesthacht A-C / Elbe;Wasser
BNA0332;86;Gelsenkirchen-Scholven B;Steinkohle
BNA0331;87;Gelsenkirchen-Scholven C;Steinkohle
BNA1039;88;Gersteinwerk F (Werne);Erdgas
BNA1044;88;Gersteinwerk F (Werne);Erdgas
BNA1040;89;Gersteinwerk G (Werne);Erdgas
BNA1045;89;Gersteinwerk G (Werne);Erdgas
BNA1041;90;Gersteinwerk H u. I (Werne);Erdgas
BNA1042;90;Gersteinwerk H u. I (Werne);Erdgas
BNA1046b;91;Gersteinwerk K1 (GT) (Werne);Erdgas
BNA1046a;92;Gersteinwerk K2 (DT) (Werne);Steinkohle
;94;Goldenberg J u. K;Braunkohle
BNA0350;95;Goldisthal A / Schwarzatal;Wasser
BNA0351;96;Goldisthal B / Schwarzatal;Wasser
BNA0352;97;Goldisthal C / Schwarzatal;Wasser
BNA0353;98;Goldisthal D / Schwarzatal;Wasser
BNA0696;99;Grevenbroich - Neurath  A;Braunkohle
BNA0697;100;Grevenbroich - Neurath  B;Braunkohle
BNA0698;101;Grevenbroich - Neurath  C;Braunkohle
BNA0699;102;Grevenbroich - Neurath  D;Braunkohle
BNA0700;103;Grevenbroich - Neurath  E;Braunkohle
BNA1401a;104;Grevenbroich - Neurath  F (BoA 2);Braunkohle
BNA1401b;105;Grevenbroich - Neurath  G (BoA 3);Braunkohle
BNA0251;106;Grohnde (KWG);Uran
BNA0373;107;Großkayna;HEL
BNA0381;108;Gundremmingen B (KRB);Uran
BNA0382;109;Gundremmingen C (KRB);Uran
BNA0389;110;Hagen-Kabel GuD;Erdgas
BNA1558;111;Hamburg-Moorburg B;Steinkohle
BNA0400;112;Hamburg-Tiefstack GuD;Erdgas
BNA0402;113;Hamburg-Tiefstack HKW;Steinkohle
BNA0410;114;Hamm-Uentrop 10;Erdgas
BNA0411;115;Hamm-Uentrop 20;Erdgas
BNA0419;116;Hannover-Herrenhausen;Erdgas
BNA0418;117;Hannover-Linden;Erdgas
BNA0420;118;Hannover-Stöcken;Steinkohle
BNA0421;118;Hannover-Stöcken;Steinkohle
BNA0422;119;Happurg 1 bis 4 / Pegnitz;Wasser
BNA0426;120;Häusern 1 bis 4;Wasser
BNA0427;121;Hausham GT 1 bis 4;HEL
BNA0428;121;Hausham GT 1 bis 4;HEL
BNA0429;121;Hausham GT 1 bis 4;HEL
BNA0430;121;Hausham GT 1 bis 4;HEL
BNA0432;123;Heilbronn 5;Steinkohle
BNA0433;124;Heilbronn 6;Steinkohle
BNA0434;125;Heilbronn 7;Steinkohle
BNA0442;126;Herdecke H3 (Cuno);Erdgas
BNA0449;127;Herne 3;Steinkohle
BNA0450;128;Herne 4;Steinkohle
BNA0793;129;Heyden;Steinkohle
BNA0467;130;Hohenwarte II  A bis H;Wasser
BNA0468;130;Hohenwarte II  A bis H;Wasser
BNA0469;130;Hohenwarte II  A bis H;Wasser
BNA0470;130;Hohenwarte II  A bis H;Wasser
BNA0471;130;Hohenwarte II  A bis H;Wasser
BNA0472;130;Hohenwarte II  A bis H;Wasser
BNA0473;130;Hohenwarte II  A bis H;Wasser
BNA0474;130;Hohenwarte II  A bis H;Wasser
BNA0485;132;Huckingen A;Gichtgas
BNA0486;133;Huckingen B;Gichtgas
BNA0239;134;Huntorf CAES;Erdgas
BNA0493;135;Ibbenbüren;Steinkohle
BNA0494;136;Iffezheim 1-5 / Rhein;Wasser
BNA0378;137;Ingolstadt 3 - Großmehring;HS
BNA0379;138;Ingolstadt 4 - Großmehring;HS
BNA0993;139;Irsching 3;Erdgas
BNA0995;140;Irsching 4;Erdgas
BNA0994;141;Irsching 5;Erdgas
BNA0263;142;Isar 2 - Essenbach (KKI) (Ohu);Uran
BNA0785;143;Jänschwalde A;Braunkohle
BNA0786;144;Jänschwalde B;Braunkohle
BNA0787;145;Jänschwalde C;Braunkohle
BNA0788;146;Jänschwalde D;Braunkohle
BNA0789;147;Jänschwalde E;Braunkohle
BNA0790;148;Jänschwalde F;Braunkohle
BNA0504;149;Jena-Süd;Erdgas
BNA0364;150;Jochenstein / Donau;Wasser
BNA0514;151;Karlsruhe-RDK 4s;Erdgas
BNA0518a;152;Karlsruhe-RDK 7;Steinkohle
BNA0518b;153;Karlsruhe-RDK 8;Steinkohle
BNA0526;154;Kiel-Ost (GKK);Steinkohle
BNA0531;155;Kirchlengern 1;Erdgas
BNA0130;156;Kirchmöser;Erdgas
BNA0548a;157;Knapsack - Hürth I;Erdgas
BNA0548b;158;Knapsack - Hürth II;Erdgas
BNA1397a;159;Köln (Ineos);HEL, Cracköl
BNA1397b;159;Köln (Ineos);HEL, Cracköl
BNA1397c;159;Köln (Ineos);HEL, Cracköl
BNA1397d;159;Köln (Ineos);HEL, Cracköl
BNA1397e;159;Köln (Ineos);HEL, Cracköl
BNA0547;160;Köln-Godorf;Erdgas, Raffineriegas
BNA1182;161;Köln-Merkenich 4+6;Braunkohle, Erdgas
BNA0543;161;Köln-Merkenich 4+6;Braunkohle, Erdgas
BNA0546;162;Köln-Merkenich GuD;Erdgas
BNA0545;163;Köln-Niehl II;Erdgas
BNA0443;164;Koepchenwerk / Ruhr;Wasser
BNA0557b;166;Krefeld-Uerdingen N 230;Steinkohle, Erdgas
BNA0337;167;Langenprozelten / Main;Wasser
BNA0583;168;Laufenburg / Rhein;Wasser
BNA0220;169;Lausward A (Anton);Erdgas
BNA0221c;170;Lausward E (Emil) DT-1;Erdgas
BNA0221b;171;Lausward E (Emil) GT-1 u. 2;Erdgas
BNA0221a;171;Lausward E (Emil) GT-1 u. 2;Erdgas
BNA0588;172;Leipzig-Nord;Erdgas
BNA0596;173;Leuna;Raffineriegas
BNA0592;174;Leuna GuD;Erdgas
BNA0593;174;Leuna GuD;Erdgas
BNA0594;174;Leuna GuD;Erdgas
BNA0595;174;Leuna GuD;Erdgas
BNA0600a;175;Leverkusen G15/G22/X50;Erdgas, Steinkohle
BNA0600b;175;Leverkusen G15/G22/X50;Erdgas, Steinkohle
BNA0115;176;Lippendorf R;Braunkohle
BNA0116;177;Lippendorf S;Braunkohle
BNA0614b;178;Ludwigshafen-Mitte;Erdgas
BNA0616b;179;Ludwigshafen-Nord;Erdgas
BNA0615;180;Ludwigshafen-Süd;Erdgas
BNA0618;181;Lünen 6;Steinkohle
BNA0619;182;Lünen 7;Steinkohle
BNA1508;183;Lünen Stummhafen;Steinkohle
BNA0627;184;Mainz-Wiesbaden 2-1;Erdgas
BNA0626;185;Mainz-Wiesbaden 3-1;Erdgas
BNA0644;186;Mannheim 6;Steinkohle
BNA0645;187;Mannheim 7;Steinkohle
BNA0646a;188;Mannheim 8;Steinkohle
BNA0646b;189;Mannheim 9;Steinkohle
BNA0649;190;Marbach III;HEL
BNA0648;190;Marbach III;HEL
BNA0652;191;Markersbach A;Wasser
BNA0653;192;Markersbach B;Wasser
BNA0654;193;Markersbach C;Wasser
BNA0655;194;Markersbach D;Wasser
BNA0656;195;Markersbach E;Wasser
BNA0657;196;Markersbach F;Wasser
BNA0660;197;Marl I;Steinkohle
